agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,2m,1,69,61,63,68
2016,2m,4,74,74,68,79
2016,2m,5,76,74,59,74
2016,2m,7,70,70,65,71
2016,2m,8,74,72,66,75
2016,2m,15,65,69,73,68
2016,2m,25,73,69,68,71
2016,2m,32,74,,72,76
2016,2m,45,75,81,73,81
2016,2m,50,75,84,84,82
2016,2m,52,75,74,68,77
2016,2m,56,77,76,69,78
2016,2m,59,72,69,72,76
2016,2m,60,75,74,62,75
2016,2m,67,72,79,65,73
2016,2m,69,77,76,67,78
2016,2m,72,57,65,60,69
2016,2m,78,73,72,69,74
2016,2m,97,71,70,61,70
2016,2m,103,71,74,70,80
2016,2m,106,78,77,76,85
2016,2m,107,72,70,61,71
2016,2m,108,70,64,61,68
2016,2m,109,72,63,53,60
2016,2m,110,72,73,56,76
2016,2m,124,75,72,63,72
2016,2m,125,71,62,67,62
2016,2m,127,72,83,74,82
2016,2m,129,76,71,67,75
2016,2m,130,76,71,58,56
2016,2m,131,75,72,71,71
2016,2m,132,76,73,66,77
2016,2m,133,73,80,82,76
2016,2m,134,73,62,51,49
2016,2m,144,73,64,65,71
2016,2m,161,74,68,73,81
2016,2m,178,75,,76,73
2016,2m,191,74,67,64,72
2016,2m,199,72,75,68,75
2016,2m,200,73,72,71,74
2016,2m,208,74,68,70,73
2016,2m,211,77,73,76,75
2016,2m,217,79,81,70,80
2016,2m,218,75,72,70,77
2016,2m,219,77,74,73,78
2016,2m,220,76,73,73,77
2016,2m,253,78,76,76,76
2016,2m,254,75,80,70,83
2016,2m,255,71,71,72,76
2016,2m,256,77,79,66,80
2016,2m,257,74,76,71,78
2016,2m,270,72,79,66,83
2016,2m,279,75,74,72,77
2016,2m,280,73,66,70,67
2016,2m,283,74,70,71,74
2016,2m,284,74,69,69,72
2016,2m,285,72,68,67,72
2016,2m,286,72,68,68,73
2016,2m,287,72,69,68,72
2016,2m,304,76,79,76,80
2016,2m,320,73,68,68,78
2016,2m,329,72,,74,79
2016,2m,335,72,68,68,68
2016,2m,336,71,73,62,77
2016,2m,337,78,79,75,79
2016,2m,341,76,78,77,76
2016,2m,342,74,80,71,82
2016,2m,344,79,80,72,79
2016,2m,350,81,80,71,82
2016,2m,355,75,76,70,77
2016,2m,356,79,82,83,88
2016,2m,357,75,73,68,84
2016,2m,358,75,83,73,84
2016,2m,361,74,79,74,75
2016,2m,364,77,80,75,79
2016,2m,365,78,75,74,79
2016,2m,366,79,77,62,78
2016,2m,367,76,68,70,73
2016,2m,372,75,,69,78
2016,2m,373,80,74,72,77
2016,2m,379,73,67,65,74
2016,2m,384,75,72,65,77
2016,2m,392,76,65,70,73
2016,2m,396,70,69,61,73
2016,2m,399,70,68,65,71
2016,2m,400,71,79,71,81
2016,2m,415,72,77,67,78
2016,2m,429,76,74,68,76
2016,2m,430,76,75,73,77
2016,2m,431,76,78,75,81
2016,2m,433,77,79,75,80
2016,2m,437,75,78,69,83
2016,2m,438,76,72,72,78
2016,2m,440,73,74,68,72
2016,2m,441,72,60,64,75
2016,2m,448,75,70,73,75
2016,2m,449,72,64,66,71
2016,2m,478,74,84,74,83
2016,2m,479,77,76,72,78
2016,2m,486,77,74,66,76
2016,2m,516,75,71,69,74
2016,2m,517,75,80,72,83
2016,2m,518,74,77,77,79
2016,2m,526,72,78,71,75
2016,2m,530,74,73,69,74
2016,2m,531,75,72,68,78
2016,2m,535,72,64,64,73
2016,2m,565,72,76,76,73
2016,2m,567,80,88,75,89
2016,2m,568,69,81,65,81
2016,2m,570,75,87,80,83
2016,2m,573,79,84,74,84
2016,2m,574,75,73,70,79
2016,2m,575,75,84,76,84
2016,2m,578,71,75,72,79
2016,2m,579,77,82,69,83
2016,2m,580,78,86,75,88
2016,2m,581,74,69,54,71
2016,2m,582,76,82,80,85
2016,2m,583,75,83,70,86
2016,2m,585,78,85,76,89
2016,2m,587,83,87,73,88
2016,2m,589,76,79,78,81
2016,2m,590,74,83,70,79
2016,2m,591,79,79,78,84
2016,2m,609,76,77,71,79
2016,2m,610,73,71,66,73
2016,2m,611,73,71,67,77
2016,2m,613,73,,67,74
2016,2m,629,75,74,73,78
2016,2m,646,73,70,67,73
2016,2m,647,70,71,53,71
2016,2m,648,79,83,70,84
2016,2m,649,76,80,74,80
2016,2m,656,72,74,66,77
2016,2m,664,79,,81,83
2016,2m,665,74,73,75,77
2016,2m,690,74,79,73,78
2016,2m,701,70,68,69,65
2016,2m,704,75,79,72,81
2016,2m,705,72,74,69,80
2016,2m,763,74,76,70,80
2016,2m,766,77,78,76,85
2016,2m,767,74,73,68,74
2016,2m,768,74,85,76,84
2016,2m,769,73,82,81,82
2016,2m,770,77,81,76,84
2016,2m,772,78,80,73,84
2016,2m,774,72,72,74,78
2016,2m,799,74,72,73,75
2016,2m,802,71,72,69,77
2016,2m,845,73,69,75,76
2016,2m,967,75,73,78,81
2016,2m,968,71,65,70,74
2016,2m,982,72,74,69,77
2016,2m,987,73,75,69,78
2016,2m,988,72,76,75,76
2016,2m,1013,69,69,76,78
2016,2m,1036,73,77,73,82
2016,2m,1048,73,67,71,73
2016,2m,1119,80,79,76,77
2016,2m,1121,71,67,63,72
2016,2m,1123,69,66,71,71
2016,2m,1148,72,,76,82
2016,2m,1149,78,77,83,85
2016,2m,1164,76,79,77,83
2016,2m,1167,69,69,70,71
2016,2m,1183,69,74,68,75
2016,2m,1190,72,77,70,80
2016,2m,1194,74,71,69,77
2016,2m,1195,75,77,66,78
2016,2m,1196,72,69,72,75
2016,2m,1198,87,,83,90
