rbd,agno,grado,ind,prom,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe2,cod_grupo,cod_rural_rbd
1,2022,2,AM,73,LICEO POLITECNICO ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
1,2022,2,CC,75,LICEO POLITECNICO ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
1,2022,2,HV,68,LICEO POLITECNICO ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
1,2022,2,PF,79,LICEO POLITECNICO ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
4,2022,2,AM,73,LICEO OCTAVIO PALMA PEREZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
4,2022,2,CC,75,LICEO OCTAVIO PALMA PEREZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
4,2022,2,HV,69,LICEO OCTAVIO PALMA PEREZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
4,2022,2,PF,79,LICEO OCTAVIO PALMA PEREZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
5,2022,2,AM,72,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
5,2022,2,CC,76,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
5,2022,2,HV,68,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
5,2022,2,PF,77,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
7,2022,2,AM,73,L. POLI. ANTONIO VARAS DE LA BARRA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
7,2022,2,CC,73,L. POLI. ANTONIO VARAS DE LA BARRA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
7,2022,2,HV,68,L. POLI. ANTONIO VARAS DE LA BARRA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
7,2022,2,PF,75,L. POLI. ANTONIO VARAS DE LA BARRA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
8,2022,2,AM,75,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
8,2022,2,CC,75,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
8,2022,2,HV,67,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
8,2022,2,PF,78,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
15,2022,2,AM,79,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
15,2022,2,CC,84,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
15,2022,2,HV,77,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
15,2022,2,PF,82,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
25,2022,2,AM,72,COLEGIO CENTENARIO DE ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
25,2022,2,CC,70,COLEGIO CENTENARIO DE ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
25,2022,2,HV,64,COLEGIO CENTENARIO DE ARICA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
