"rbd";"agno";"nivel";"grado";"ind";"dim";"sdim";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"fecha_bbdd";"codigo_bdd"
1;2023;MEDIA;2;AM;AA;AA;29;47;24;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AR;AB;37;47;16;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;AC;AC;17;56;27;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;VA;AF;29;44;27;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;HA;AL;11;69;20;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AO;AO;78;22;0;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AR;CS;41;44;15;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;VD;EP;69;15;16;;;;20240528;final20240528v1
1;2023;MEDIA;2;AM;ME;ID;33;50;17;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;SP;IE;37;45;19;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AS;MP;37;47;15;;;;20240528;final20240528v1
1;2023;MEDIA;2;AM;AA;PA;23;45;33;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;AC;PC;22;;78;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;VD;PD;72;16;13;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;PA;PE;79;11;10;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;HA;PH;42;;58;;;;20240528;final20240528v1
1;2023;MEDIA;2;AM;ME;PM;74;;26;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;PA;PP;63;13;24;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AO;PR;79;;21;;;;20240528;final20240528v1
1;2023;MEDIA;2;HV;VA;PV;36;;64;;;;20240528;final20240528v1
1;2023;MEDIA;2;PF;VD;RD;35;42;24;;;;20240528;final20240528v1
1;2023;MEDIA;2;CC;AS;TV;79;;21;;;;20240528;final20240528v1
4;2023;MEDIA;2;AM;AA;AA;20;40;40;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AR;AB;37;45;19;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;AC;AC;6;60;35;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;VA;AF;19;38;43;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;HA;AL;8;57;35;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AO;AO;71;28;1;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AR;CS;24;55;20;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;VD;EP;48;25;27;;;;20240528;final20240528v1
4;2023;MEDIA;2;AM;ME;ID;36;51;13;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;SP;IE;27;55;17;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AS;MP;34;47;19;;;;20240528;final20240528v1
4;2023;MEDIA;2;AM;AA;PA;17;44;39;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;AC;PC;44;;56;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;VD;PD;62;16;22;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;PA;PE;89;3;8;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;HA;PH;68;;33;;;;20240528;final20240528v1
4;2023;MEDIA;2;AM;ME;PM;74;;26;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;PA;PP;80;9;11;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AO;PR;70;;30;;;;20240528;final20240528v1
4;2023;MEDIA;2;HV;VA;PV;56;;44;;;;20240528;final20240528v1
4;2023;MEDIA;2;PF;VD;RD;29;45;26;;;;20240528;final20240528v1
4;2023;MEDIA;2;CC;AS;TV;72;;28;;;;20240528;final20240528v1
5;2023;MEDIA;2;AM;AA;AA;28;43;28;;;;20240528;final20240528v1
5;2023;MEDIA;2;CC;AR;AB;42;40;18;;;;20240528;final20240528v1
5;2023;MEDIA;2;HV;AC;AC;7;69;24;;;;20240528;final20240528v1
5;2023;MEDIA;2;HV;VA;AF;25;39;36;;;;20240528;final20240528v1
5;2023;MEDIA;2;HV;HA;AL;9;65;26;;;;20240528;final20240528v1
5;2023;MEDIA;2;CC;AO;AO;73;27;0;;;;20240528;final20240528v1
5;2023;MEDIA;2;CC;AR;CS;37;50;14;;;;20240528;final20240528v1
5;2023;MEDIA;2;PF;VD;EP;51;20;29;;;;20240528;final20240528v1
