"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
1;2;2023;AM;74;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
1;2;2023;CC;72;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
1;2;2023;HV;74;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
1;2;2023;PF;76;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
4;2;2023;AM;76;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
4;2;2023;CC;74;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
4;2;2023;HV;70;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
4;2;2023;PF;77;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
5;2;2023;AM;75;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
5;2;2023;CC;74;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
5;2;2023;HV;69;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
5;2;2023;PF;79;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
7;2;2023;AM;73;L. POLI. ANTONIO VARAS DE LA BARRA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
7;2;2023;CC;74;L. POLI. ANTONIO VARAS DE LA BARRA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
7;2;2023;HV;73;L. POLI. ANTONIO VARAS DE LA BARRA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
7;2;2023;PF;76;L. POLI. ANTONIO VARAS DE LA BARRA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;20240528;final20240528v1
8;2;2023;AM;75;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
8;2;2023;CC;76;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
8;2;2023;HV;72;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
