"rbd";"id_subdimension";"agno";"id_indicador";"id_dimension";"niv_mbajo_por";"niv_mmedio_por";"niv_malto_por";"niv_bajo_por";"niv_medio_por";"niv_alto_por";"codigo_bbdd";"fecha_bbdd";"grado"
1;111;2025;1;11;;;;37;46;16;v12025;20260423;2m
1;112;2025;1;11;;;;25;39;37;v12025;20260423;2m
1;121;2025;1;12;;;;37;55;8;v12025;20260423;2m
1;122;2025;1;12;;;;79;;21;v12025;20260423;2m
1;211;2025;2;21;;;;46;46;7;v12025;20260423;2m
1;212;2025;2;21;;;;26;49;26;v12025;20260423;2m
1;221;2025;2;22;;;;64;32;4;v12025;20260423;2m
1;222;2025;2;22;;;;72;;28;v12025;20260423;2m
1;231;2025;2;23;;;;25;52;24;v12025;20260423;2m
1;232;2025;2;23;;;;80;;20;v12025;20260423;2m
1;311;2025;3;31;;;;90;3;7;v12025;20260423;2m
1;312;2025;3;31;;;;73;9;18;v12025;20260423;2m
1;321;2025;3;32;;;;62;20;18;v12025;20260423;2m
1;322;2025;3;32;;;;32;42;26;v12025;20260423;2m
1;323;2025;3;32;;;;63;16;20;v12025;20260423;2m
1;331;2025;3;33;;;;35;46;19;v12025;20260423;2m
1;411;2025;4;41;;;;29;41;30;v12025;20260423;2m
1;412;2025;4;41;;;;35;;65;v12025;20260423;2m
1;421;2025;4;42;;;;16;57;26;v12025;20260423;2m
1;422;2025;4;42;;;;44;;56;v12025;20260423;2m
1;431;2025;4;43;;;;15;58;27;v12025;20260423;2m
1;432;2025;4;43;;;;16;;84;v12025;20260423;2m
4;111;2025;1;11;;;;23;43;35;v12025;20260423;2m
4;112;2025;1;11;;;;17;46;38;v12025;20260423;2m
4;121;2025;1;12;;;;38;50;12;v12025;20260423;2m
4;122;2025;1;12;;;;74;;26;v12025;20260423;2m
4;211;2025;2;21;;;;25;60;15;v12025;20260423;2m
4;212;2025;2;21;;;;17;51;32;v12025;20260423;2m
4;221;2025;2;22;;;;52;39;9;v12025;20260423;2m
4;222;2025;2;22;;;;69;;31;v12025;20260423;2m
4;231;2025;2;23;;;;24;54;23;v12025;20260423;2m
4;232;2025;2;23;;;;73;;27;v12025;20260423;2m
4;311;2025;3;31;;;;94;1;5;v12025;20260423;2m
4;312;2025;3;31;;;;81;8;10;v12025;20260423;2m
4;321;2025;3;32;;;;49;25;26;v12025;20260423;2m
4;322;2025;3;32;;;;26;46;27;v12025;20260423;2m
4;323;2025;3;32;;;;60;17;24;v12025;20260423;2m
4;331;2025;3;33;;;;26;55;19;v12025;20260423;2m
4;411;2025;4;41;;;;23;39;38;v12025;20260423;2m
4;412;2025;4;41;;;;55;;45;v12025;20260423;2m
4;421;2025;4;42;;;;11;57;32;v12025;20260423;2m
4;422;2025;4;42;;;;66;;34;v12025;20260423;2m
4;431;2025;4;43;;;;9;62;29;v12025;20260423;2m
4;432;2025;4;43;;;;36;;64;v12025;20260423;2m
5;111;2025;1;11;;;;38;30;32;v12025;20260423;2m
5;112;2025;1;11;;;;21;45;33;v12025;20260423;2m
5;121;2025;1;12;;;;44;46;9;v12025;20260423;2m
5;122;2025;1;12;;;;71;;29;v12025;20260423;2m
5;211;2025;2;21;;;;26;55;19;v12025;20260423;2m
5;212;2025;2;21;;;;18;55;28;v12025;20260423;2m
5;221;2025;2;22;;;;42;47;11;v12025;20260423;2m
5;222;2025;2;22;;;;74;;26;v12025;20260423;2m
5;231;2025;2;23;;;;16;56;29;v12025;20260423;2m
5;232;2025;2;23;;;;87;;13;v12025;20260423;2m
5;311;2025;3;31;;;;90;4;6;v12025;20260423;2m
5;312;2025;3;31;;;;69;12;19;v12025;20260423;2m
5;321;2025;3;32;;;;50;22;28;v12025;20260423;2m
5;322;2025;3;32;;;;10;46;44;v12025;20260423;2m
5;323;2025;3;32;;;;61;12;27;v12025;20260423;2m
5;331;2025;3;33;;;;31;48;20;v12025;20260423;2m
5;411;2025;4;41;;;;27;33;40;v12025;20260423;2m
5;412;2025;4;41;;;;42;;58;v12025;20260423;2m
5;421;2025;4;42;;;;11;44;44;v12025;20260423;2m
5;422;2025;4;42;;;;47;;53;v12025;20260423;2m
5;431;2025;4;43;;;;15;61;24;v12025;20260423;2m
5;432;2025;4;43;;;;35;;65;v12025;20260423;2m
7;111;2025;1;11;;;;38;38;24;v12025;20260423;2m
7;112;2025;1;11;;;;18;48;34;v12025;20260423;2m
7;121;2025;1;12;;;;41;51;8;v12025;20260423;2m
7;122;2025;1;12;;;;74;;26;v12025;20260423;2m
7;211;2025;2;21;;;;36;51;13;v12025;20260423;2m
7;212;2025;2;21;;;;10;55;34;v12025;20260423;2m
7;221;2025;2;22;;;;44;49;6;v12025;20260423;2m
7;222;2025;2;22;;;;63;;37;v12025;20260423;2m
7;231;2025;2;23;;;;16;52;32;v12025;20260423;2m
7;232;2025;2;23;;;;71;;29;v12025;20260423;2m
7;311;2025;3;31;;;;87;3;10;v12025;20260423;2m
7;312;2025;3;31;;;;75;7;18;v12025;20260423;2m
7;321;2025;3;32;;;;59;17;25;v12025;20260423;2m
7;322;2025;3;32;;;;17;47;36;v12025;20260423;2m
7;323;2025;3;32;;;;55;19;27;v12025;20260423;2m
7;331;2025;3;33;;;;32;50;18;v12025;20260423;2m
7;411;2025;4;41;;;;27;41;32;v12025;20260423;2m
7;412;2025;4;41;;;;36;;64;v12025;20260423;2m
7;421;2025;4;42;;;;14;53;33;v12025;20260423;2m
7;422;2025;4;42;;;;50;;50;v12025;20260423;2m
7;431;2025;4;43;;;;11;60;29;v12025;20260423;2m
7;432;2025;4;43;;;;23;;77;v12025;20260423;2m
8;111;2025;1;11;;;;12;52;36;v12025;20260423;2m
8;112;2025;1;11;;;;19;43;39;v12025;20260423;2m
8;121;2025;1;12;;;;31;56;13;v12025;20260423;2m
8;122;2025;1;12;;;;61;;39;v12025;20260423;2m
8;211;2025;2;21;;;;35;45;20;v12025;20260423;2m
8;212;2025;2;21;;;;17;48;35;v12025;20260423;2m
8;221;2025;2;22;;;;39;49;12;v12025;20260423;2m
8;222;2025;2;22;;;;59;;41;v12025;20260423;2m
8;231;2025;2;23;;;;23;40;37;v12025;20260423;2m
8;232;2025;2;23;;;;79;;21;v12025;20260423;2m
8;311;2025;3;31;;;;80;7;13;v12025;20260423;2m
8;312;2025;3;31;;;;61;16;23;v12025;20260423;2m
8;321;2025;3;32;;;;43;21;36;v12025;20260423;2m
8;322;2025;3;32;;;;21;43;36;v12025;20260423;2m
8;323;2025;3;32;;;;55;16;29;v12025;20260423;2m
8;331;2025;3;33;;;;31;44;25;v12025;20260423;2m
8;411;2025;4;41;;;;24;31;45;v12025;20260423;2m
8;412;2025;4;41;;;;41;;59;v12025;20260423;2m
8;421;2025;4;42;;;;11;45;44;v12025;20260423;2m
8;422;2025;4;42;;;;48;;52;v12025;20260423;2m
8;431;2025;4;43;;;;17;45;37;v12025;20260423;2m
8;432;2025;4;43;;;;29;;71;v12025;20260423;2m
15;111;2025;1;11;;;;37;37;26;v12025;20260423;2m
15;112;2025;1;11;;;;22;41;37;v12025;20260423;2m
15;121;2025;1;12;;;;52;41;7;v12025;20260423;2m
15;122;2025;1;12;;;;74;;26;v12025;20260423;2m
15;211;2025;2;21;;;;78;22;0;v12025;20260423;2m
15;212;2025;2;21;;;;30;48;22;v12025;20260423;2m
15;221;2025;2;22;;;;78;19;4;v12025;20260423;2m
15;222;2025;2;22;;;;81;;19;v12025;20260423;2m
15;231;2025;2;23;;;;37;44;19;v12025;20260423;2m
15;232;2025;2;23;;;;81;;19;v12025;20260423;2m
15;311;2025;3;31;;;;89;7;4;v12025;20260423;2m
15;312;2025;3;31;;;;78;11;11;v12025;20260423;2m
15;321;2025;3;32;;;;81;7;11;v12025;20260423;2m
15;322;2025;3;32;;;;44;41;15;v12025;20260423;2m
15;323;2025;3;32;;;;70;19;11;v12025;20260423;2m
15;331;2025;3;33;;;;48;44;7;v12025;20260423;2m
15;411;2025;4;41;;;;33;37;30;v12025;20260423;2m
15;412;2025;4;41;;;;74;;26;v12025;20260423;2m
15;421;2025;4;42;;;;26;59;15;v12025;20260423;2m
15;422;2025;4;42;;;;85;;15;v12025;20260423;2m
15;431;2025;4;43;;;;22;63;15;v12025;20260423;2m
15;432;2025;4;43;;;;59;;41;v12025;20260423;2m
25;111;2025;1;11;;;;32;34;34;v12025;20260423;2m
25;112;2025;1;11;;;;13;38;49;v12025;20260423;2m
25;121;2025;1;12;;;;32;64;4;v12025;20260423;2m
25;122;2025;1;12;;;;70;;30;v12025;20260423;2m
25;211;2025;2;21;;;;41;43;15;v12025;20260423;2m
25;212;2025;2;21;;;;11;43;46;v12025;20260423;2m
25;221;2025;2;22;;;;63;26;11;v12025;20260423;2m
25;222;2025;2;22;;;;57;;43;v12025;20260423;2m
25;231;2025;2;23;;;;17;55;28;v12025;20260423;2m
25;232;2025;2;23;;;;72;;28;v12025;20260423;2m
25;311;2025;3;31;;;;85;0;15;v12025;20260423;2m
25;312;2025;3;31;;;;66;11;23;v12025;20260423;2m
25;321;2025;3;32;;;;49;30;21;v12025;20260423;2m
25;322;2025;3;32;;;;21;43;36;v12025;20260423;2m
25;323;2025;3;32;;;;51;17;32;v12025;20260423;2m
25;331;2025;3;33;;;;30;53;17;v12025;20260423;2m
25;411;2025;4;41;;;;17;43;39;v12025;20260423;2m
25;412;2025;4;41;;;;43;;57;v12025;20260423;2m
25;421;2025;4;42;;;;6;49;45;v12025;20260423;2m
25;422;2025;4;42;;;;43;;57;v12025;20260423;2m
25;431;2025;4;43;;;;9;61;30;v12025;20260423;2m
25;432;2025;4;43;;;;31;;69;v12025;20260423;2m
32;111;2025;1;11;;;;20;29;51;v12025;20260423;2m
32;112;2025;1;11;;;;2;27;71;v12025;20260423;2m
32;121;2025;1;12;;;;13;67;20;v12025;20260423;2m
32;122;2025;1;12;;;;61;;39;v12025;20260423;2m
32;211;2025;2;21;;;;18;58;24;v12025;20260423;2m
32;212;2025;2;21;;;;9;38;53;v12025;20260423;2m
32;221;2025;2;22;;;;16;61;23;v12025;20260423;2m
32;222;2025;2;22;;;;32;;68;v12025;20260423;2m
32;231;2025;2;23;;;;9;44;47;v12025;20260423;2m
32;232;2025;2;23;;;;76;;24;v12025;20260423;2m
32;311;2025;3;31;;;;60;13;27;v12025;20260423;2m
32;312;2025;3;31;;;;42;22;36;v12025;20260423;2m
32;321;2025;3;32;;;;33;31;36;v12025;20260423;2m
32;322;2025;3;32;;;;11;42;47;v12025;20260423;2m
32;323;2025;3;32;;;;31;27;42;v12025;20260423;2m
32;331;2025;3;33;;;;16;38;47;v12025;20260423;2m
32;411;2025;4;41;;;;9;38;53;v12025;20260423;2m
32;412;2025;4;41;;;;24;;76;v12025;20260423;2m
32;421;2025;4;42;;;;9;38;53;v12025;20260423;2m
32;422;2025;4;42;;;;33;;67;v12025;20260423;2m
32;431;2025;4;43;;;;2;53;44;v12025;20260423;2m
32;432;2025;4;43;;;;7;;93;v12025;20260423;2m
45;111;2025;1;11;;;;28;38;33;v12025;20260423;2m
45;112;2025;1;11;;;;12;20;68;v12025;20260423;2m
45;121;2025;1;12;;;;33;62;5;v12025;20260423;2m
45;122;2025;1;12;;;;37;;63;v12025;20260423;2m
45;211;2025;2;21;;;;25;57;18;v12025;20260423;2m
45;212;2025;2;21;;;;12;37;52;v12025;20260423;2m
45;221;2025;2;22;;;;38;47;15;v12025;20260423;2m
45;222;2025;2;22;;;;45;;55;v12025;20260423;2m
45;231;2025;2;23;;;;2;40;58;v12025;20260423;2m
45;232;2025;2;23;;;;70;;30;v12025;20260423;2m
45;311;2025;3;31;;;;85;3;12;v12025;20260423;2m
45;312;2025;3;31;;;;65;18;17;v12025;20260423;2m
45;321;2025;3;32;;;;32;27;42;v12025;20260423;2m
45;322;2025;3;32;;;;10;33;57;v12025;20260423;2m
