agno,grado,rbd,ind_am,ind_cc,ind_hv,ind_pf
2016,4b,5,75,74,65,72
2016,4b,8,83,82,84,86
2016,4b,9,80,78,70,80
2016,4b,10,82,79,73,84
2016,4b,11,73,69,63,70
2016,4b,12,77,82,70,86
2016,4b,13,84,84,75,86
2016,4b,14,71,74,61,74
2016,4b,15,73,82,72,85
2016,4b,16,77,79,67,72
2016,4b,17,70,,64,71
2016,4b,18,77,73,68,81
2016,4b,19,79,75,68,79
2016,4b,20,71,73,69,81
2016,4b,22,71,72,66,74
2016,4b,25,73,70,67,78
2016,4b,26,80,82,74,86
2016,4b,27,80,74,68,82
2016,4b,28,74,80,73,81
2016,4b,29,73,76,69,80
2016,4b,31,72,74,64,75
2016,4b,32,73,74,71,80
2016,4b,33,77,80,83,81
2016,4b,35,78,66,65,66
2016,4b,36,76,80,71,82
2016,4b,38,76,77,68,80
2016,4b,39,66,72,59,64
2016,4b,41,72,74,56,73
2016,4b,42,85,85,78,87
2016,4b,45,77,77,76,81
2016,4b,50,73,79,71,77
2016,4b,52,74,74,67,73
2016,4b,56,75,79,74,80
2016,4b,59,77,77,75,83
2016,4b,60,74,74,69,74
2016,4b,67,73,77,67,75
2016,4b,69,71,80,71,77
2016,4b,70,93,77,85,
2016,4b,72,81,76,73,81
2016,4b,73,65,,86,74
2016,4b,75,65,65,82,70
2016,4b,78,76,,65,75
2016,4b,79,,,68,73
2016,4b,84,72,,41,
2016,4b,86,82,,77,
2016,4b,87,66,,75,
2016,4b,90,82,,49,50
2016,4b,93,,,55,
2016,4b,103,78,,70,82
2016,4b,110,73,76,66,79
2016,4b,111,74,79,68,80
2016,4b,112,77,75,71,81
2016,4b,113,73,72,65,75
2016,4b,114,77,73,68,77
2016,4b,116,74,74,69,81
2016,4b,117,93,92,80,94
2016,4b,119,81,84,80,89
2016,4b,122,66,69,58,71
2016,4b,123,74,74,72,79
2016,4b,125,78,75,68,79
2016,4b,126,75,71,70,77
2016,4b,127,76,80,76,82
2016,4b,129,78,,67,69
2016,4b,130,79,80,75,83
2016,4b,131,73,79,68,79
2016,4b,132,78,77,73,81
2016,4b,133,76,77,74,80
2016,4b,134,75,74,68,76
2016,4b,144,74,74,69,82
2016,4b,154,74,88,86,91
2016,4b,156,73,66,68,71
2016,4b,159,85,70,60,81
2016,4b,160,79,75,60,76
2016,4b,161,75,69,72,79
2016,4b,162,69,59,64,64
2016,4b,167,73,76,73,77
2016,4b,168,87,86,93,69
2016,4b,169,60,59,66,57
2016,4b,170,72,,75,
2016,4b,171,64,76,63,70
2016,4b,172,82,,98,
2016,4b,173,79,89,74,79
2016,4b,174,71,80,80,72
2016,4b,177,57,72,44,70
2016,4b,178,77,72,63,76
2016,4b,185,68,71,68,65
2016,4b,186,82,87,89,
2016,4b,187,77,,68,78
2016,4b,188,73,68,68,72
2016,4b,192,81,62,68,69
2016,4b,193,71,74,68,75
2016,4b,195,71,74,70,81
2016,4b,196,69,77,66,65
2016,4b,198,72,76,70,74
2016,4b,201,75,79,71,84
2016,4b,203,77,79,71,80
2016,4b,204,74,77,72,84
2016,4b,205,70,74,73,75
2016,4b,206,74,70,68,74
2016,4b,208,74,71,69,77
2016,4b,210,74,71,71,78
2016,4b,214,77,84,75,82
2016,4b,223,72,76,69,81
2016,4b,224,71,77,71,77
2016,4b,225,73,77,70,78
2016,4b,226,75,75,70,80
2016,4b,227,76,74,67,78
2016,4b,228,76,77,71,79
2016,4b,229,74,71,66,80
2016,4b,230,77,78,72,80
2016,4b,231,75,78,64,76
2016,4b,232,75,74,65,78
2016,4b,239,69,72,69,73
2016,4b,240,84,87,77,89
2016,4b,246,67,59,53,75
2016,4b,248,85,99,84,95
2016,4b,252,74,77,70,85
2016,4b,253,76,77,68,75
2016,4b,254,76,74,71,78
2016,4b,255,73,76,74,78
2016,4b,256,73,77,70,79
2016,4b,257,75,75,73,80
2016,4b,268,77,72,60,80
2016,4b,269,79,72,76,78
2016,4b,270,84,68,72,80
2016,4b,271,89,65,94,88
2016,4b,273,77,63,70,72
2016,4b,274,73,69,67,65
2016,4b,277,69,75,78,75
2016,4b,284,76,75,72,80
2016,4b,285,74,73,67,77
2016,4b,288,77,76,72,80
2016,4b,289,78,,72,81
2016,4b,291,76,73,73,79
2016,4b,292,73,72,70,76
2016,4b,293,74,71,71,75
2016,4b,294,76,67,64,75
2016,4b,296,76,76,71,82
2016,4b,297,75,73,68,77
2016,4b,298,73,71,66,73
2016,4b,301,72,71,72,74
2016,4b,302,72,70,64,79
2016,4b,303,71,78,67,75
2016,4b,304,75,74,73,77
2016,4b,305,78,79,71,80
2016,4b,306,72,79,77,82
2016,4b,310,68,69,64,70
2016,4b,312,79,82,71,80
2016,4b,313,77,73,72,77
2016,4b,315,71,75,69,74
2016,4b,316,73,74,67,77
2016,4b,317,72,67,67,70
2016,4b,318,74,76,71,76
2016,4b,319,74,78,70,79
2016,4b,320,70,67,67,71
2016,4b,322,73,78,74,81
2016,4b,324,74,71,61,76
2016,4b,326,70,74,62,76
2016,4b,329,74,75,74,77
2016,4b,332,76,79,69,78
2016,4b,335,72,69,66,72
2016,4b,336,67,69,60,70
2016,4b,337,71,75,73,76
2016,4b,341,73,79,72,77
2016,4b,342,71,78,71,80
2016,4b,343,72,78,70,75
2016,4b,344,76,82,82,84
2016,4b,350,73,76,66,78
2016,4b,354,76,81,74,82
2016,4b,355,72,76,71,74
2016,4b,356,76,82,77,84
2016,4b,357,77,78,71,81
2016,4b,358,83,82,77,84
2016,4b,361,80,81,83,84
2016,4b,364,76,80,77,84
2016,4b,365,73,77,74,80
2016,4b,366,76,74,72,78
2016,4b,367,66,69,66,73
2016,4b,368,71,67,70,71
2016,4b,369,87,,79,89
2016,4b,370,70,71,66,76
2016,4b,371,74,,71,80
2016,4b,374,74,73,74,78
2016,4b,375,80,82,79,85
2016,4b,377,63,69,68,64
2016,4b,380,79,83,77,87
2016,4b,381,82,74,79,85
2016,4b,382,75,81,68,79
2016,4b,386,82,78,73,85
2016,4b,387,62,63,55,64
2016,4b,390,71,67,73,73
2016,4b,401,75,79,70,77
2016,4b,403,77,71,72,80
2016,4b,405,79,81,76,87
2016,4b,406,74,73,68,78
2016,4b,407,73,64,64,72
2016,4b,408,73,72,72,79
2016,4b,410,75,72,69,77
2016,4b,411,75,70,68,79
2016,4b,413,69,,63,71
2016,4b,415,73,82,66,80
2016,4b,416,75,78,65,76
2016,4b,417,70,67,69,70
2016,4b,418,75,78,75,81
2016,4b,419,74,70,66,77
2016,4b,420,78,,77,83
2016,4b,421,72,75,67,79
2016,4b,423,80,75,77,85
2016,4b,427,74,74,71,78
2016,4b,429,73,74,70,78
2016,4b,430,72,78,73,78
2016,4b,431,80,82,77,86
2016,4b,433,76,83,72,82
2016,4b,434,73,80,79,82
2016,4b,440,72,75,77,77
2016,4b,441,76,62,68,75
2016,4b,442,77,72,75,74
2016,4b,444,70,66,63,67
2016,4b,445,82,79,63,78
2016,4b,446,76,83,83,95
2016,4b,447,84,82,69,92
2016,4b,450,75,,71,76
