agno|grado|rbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
2017|4b|5|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|72.65830883856333|71.17875857686808|60.83202267297176|71.4036058299841
2017|4b|8|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|81.67602096043081|81.49121847250756|85.10230074661452|86.35089115939209
2017|4b|9|ESCUELA REPUBLICA DE ISRAEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|75.18810994988671|75.11879820222822|66.18155243615996|78.70608905979765
2017|4b|10|ESCUELA REPUBLICA DE FRANCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|71.24615117180079|74.65972894372905|66.57964960119352|75.75181232894452
2017|4b|11|ESC. GRAL. PEDRO LAGOS MARCHANT|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|73.41392799184052|70.713671553338|67.32910624671709|78.85541222540491
2017|4b|12|ESCUELA GRAL JOSE MIGUEL CARRERA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|73.72347941367025|83.58061108481397|70.87175771745855|81.65314493038798
2017|4b|13|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|78.82841889758659|79.23714260054273|71.84496316104048|83.76626609457475
2017|4b|14|ESCUELA ROMULO J. PENA MATURANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|74.30185622275022|75.4472262901953|62.48055485510508|77.45984757554852
2017|4b|15|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|67.28050806928611|76.26475154710279|67.82867353927081|75.29043627622804
2017|4b|16|ESCUELA REGIMIENTO RANCAGUA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|86.13524216102324|85.95916323370699|83.90741164461808|92.09891452770383
2017|4b|17|ESCUELA SUBTTE. LUIS CRUZ MARTINEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|76.55749965734573|69.91761761153089|68.4150466950321|80.82784069209228
2017|4b|18|ESC. COMTE. JUAN JOSE SAN MARTIN|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|83.98980045586633|83.46978588630454|78.12763570201997|90.02027752579517
2017|4b|19|ESC. HUMBERTO VALENZUELA GARCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|70.03188448570678|72.44869544016947|65.79799450423734|76.1959854825853
2017|4b|20|ESCUELA TUCAPEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|72.71863067702593|69.4938693269615|67.68034843164375|77.63918266923758
2017|4b|22|ESCUELA GABRIELA MISTRAL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|74.88295197812029|73.3033447155597|64.40501934599446|77.37268811507707
2017|4b|25|COLEGIO CENTENARIO DE ARICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|69.04360979645314|65.67967107444896|63.37049399924883|72.50979795748897
2017|4b|26|ESCUELA REPUBLICA DE ARGENTINA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|73.70685649298838|77.89542995796323|71.65781835306264|80.15359290795584
2017|4b|27|ESCUELA ESMERALDA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|70.72827630003771|76.24267054340804|61.32190823760831|73.7635299977361
2017|4b|28|ESCUELA RICARDO SILVA ARRIAGADA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio|Urbano|83.20821385730429|85.24785461768921|71.02913907604169|86.27408791559506
2017|4b|29|ESCUELA AMERICA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Medio bajo|Urbano|72.74005284497586|75.91213846823148|68.2991353432423|81.11154462624967
2017|4b|31|ESCUELA DARIO SALAS DIAZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Bajo|Rural|75.48846022325475|71.19761467764782|68.10004532826514|74.07997861663564
2017|4b|32|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal|Bajo|Rural|72.90567488846941|68.51592738054485|68.59869893604271|73.01942044727052
