rbd,agno,grado,ind,prom,nom_rbd,cod_reg_rbd,nom_reg_rbd,cod_pro_rbd,nom_pro_rbd,cod_com_rbd,nom_com_rbd,nom_deprov_rbd,cod_depe2,cod_grupo,cod_rural_rbd
5,2022,4,AM,70,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
5,2022,4,CC,78,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
5,2022,4,HV,65,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
5,2022,4,PF,74,JOVINA NARANJO FERNANDEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
8,2022,4,AM,77,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
8,2022,4,CC,80,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
8,2022,4,HV,74,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
8,2022,4,PF,85,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
9,2022,4,AM,73,ESCUELA REPUBLICA DE ISRAEL,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
9,2022,4,CC,74,ESCUELA REPUBLICA DE ISRAEL,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
9,2022,4,HV,62,ESCUELA REPUBLICA DE ISRAEL,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
9,2022,4,PF,75,ESCUELA REPUBLICA DE ISRAEL,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
10,2022,4,AM,89,ESCUELA REPUBLICA DE FRANCIA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
10,2022,4,CC,88,ESCUELA REPUBLICA DE FRANCIA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
10,2022,4,HV,82,ESCUELA REPUBLICA DE FRANCIA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
10,2022,4,PF,93,ESCUELA REPUBLICA DE FRANCIA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
11,2022,4,AM,67,ESC. GRAL. PEDRO LAGOS MARCHANT,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
11,2022,4,CC,77,ESC. GRAL. PEDRO LAGOS MARCHANT,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
11,2022,4,HV,63,ESC. GRAL. PEDRO LAGOS MARCHANT,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
11,2022,4,PF,74,ESC. GRAL. PEDRO LAGOS MARCHANT,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
12,2022,4,AM,74,ESCUELA GRAL JOSE MIGUEL CARRERA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
12,2022,4,CC,74,ESCUELA GRAL JOSE MIGUEL CARRERA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
12,2022,4,HV,67,ESCUELA GRAL JOSE MIGUEL CARRERA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
12,2022,4,PF,76,ESCUELA GRAL JOSE MIGUEL CARRERA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,3,1
13,2022,4,AM,82,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
13,2022,4,CC,85,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
13,2022,4,HV,76,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
13,2022,4,PF,88,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
14,2022,4,AM,79,ESCUELA ROMULO J. PENA MATURANA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
14,2022,4,CC,79,ESCUELA ROMULO J. PENA MATURANA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
14,2022,4,HV,70,ESCUELA ROMULO J. PENA MATURANA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
14,2022,4,PF,86,ESCUELA ROMULO J. PENA MATURANA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,1,1
15,2022,4,AM,74,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
15,2022,4,CC,79,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
15,2022,4,HV,71,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
15,2022,4,PF,80,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CR,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,4,1
16,2022,4,AM,76,ESCUELA REGIMIENTO RANCAGUA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
16,2022,4,CC,77,ESCUELA REGIMIENTO RANCAGUA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
16,2022,4,HV,67,ESCUELA REGIMIENTO RANCAGUA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
16,2022,4,PF,80,ESCUELA REGIMIENTO RANCAGUA,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
17,2022,4,AM,77,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
17,2022,4,CC,73,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
17,2022,4,HV,69,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
17,2022,4,PF,81,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
18,2022,4,AM,74,ESC. COMTE. JUAN JOSE SAN MARTIN,15,DE ARICA Y PARINACOTA,151,ARICA,15101,ARICA,Arica,1,2,1
