"rbd";"grado";"agno";"ind";"prom";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"fecha_bbdd";"codigo_bdd"
5;4;2023;AM;76;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
5;4;2023;CC;74;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
5;4;2023;HV;66;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
5;4;2023;PF;75;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
8;4;2023;AM;76;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
8;4;2023;CC;69;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
8;4;2023;HV;75;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
8;4;2023;PF;77;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
9;4;2023;AM;72;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
9;4;2023;CC;74;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
9;4;2023;HV;70;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
9;4;2023;PF;77;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
10;4;2023;AM;81;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
10;4;2023;CC;83;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
10;4;2023;HV;79;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
10;4;2023;PF;90;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;20240528;final20240528v1
11;4;2023;AM;83;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
11;4;2023;CC;83;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
11;4;2023;HV;76;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
11;4;2023;PF;88;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
12;4;2023;AM;89;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
12;4;2023;CC;86;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
12;4;2023;HV;81;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
12;4;2023;PF;92;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
13;4;2023;AM;80;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
13;4;2023;CC;78;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
13;4;2023;HV;71;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
13;4;2023;PF;83;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
14;4;2023;AM;79;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
14;4;2023;CC;;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
14;4;2023;HV;77;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
14;4;2023;PF;84;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
15;4;2023;AM;73;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
15;4;2023;CC;70;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
15;4;2023;HV;63;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
15;4;2023;PF;74;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;20240528;final20240528v1
16;4;2023;AM;69;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
16;4;2023;CC;82;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
16;4;2023;HV;67;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
16;4;2023;PF;80;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
17;4;2023;AM;80;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
17;4;2023;CC;80;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
17;4;2023;HV;77;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
17;4;2023;PF;84;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
18;4;2023;AM;85;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
18;4;2023;CC;82;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
18;4;2023;HV;75;ESC. COMTE. JUAN JOSE SAN MARTIN;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;20240528;final20240528v1
