rbd|agno|grado|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe2|cod_grupo|cod_rural_rbd|ind_am|ind_cc|ind_hv|ind_pf
5|2019|8b|JOVINA NARANJO FERNANDEZ|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|65.989760952|69.486404553|63.451434342|72.058838677
8|2019|8b|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|90.337090775||86.165443589|92.751751386
9|2019|8b|ESCUELA REPUBLICA DE ISRAEL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|82.731578048|82.935383655|79.258842897|84.237751684
10|2019|8b|ESCUELA REPUBLICA DE FRANCIA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|80.190687775|85.308490509|74.499125666|86.247132234
11|2019|8b|ESC. GRAL. PEDRO LAGOS MARCHANT|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|74.479371141|69.863592058|65.459367527|74.961111844
12|2019|8b|ESCUELA GRAL JOSE MIGUEL CARRERA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|77.053469866|80.978946072|72.084186269|84.703535731
13|2019|8b|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|77.733184794|77.338455872|73.125875507|82.915293521
14|2019|8b|ESCUELA ROMULO J. PENA MATURANA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|83.717772892|79.866159158|73.833971128|84.06484765
15|2019|8b|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|67.107742734|73.181182959|66.744573705|75.269250874
16|2019|8b|ESCUELA REGIMIENTO RANCAGUA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|83.818639065|79.67114465|82.649018373|89.732925577
17|2019|8b|ESCUELA SUBTTE. LUIS CRUZ MARTINEZ|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|80.072971758|85.002006777|78.469390788|86.524447867
18|2019|8b|ESC. COMTE. JUAN JOSE SAN MARTIN|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|72.269428745|72.856688591|68.245766877|73.324549235
19|2019|8b|ESC. HUMBERTO VALENZUELA GARCIA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|70.10388276|69.60341589|65.920342553|69.596754701
20|2019|8b|ESCUELA TUCAPEL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|74.806449415|75.931930291|73.019599839|81.164816985
22|2019|8b|ESCUELA GABRIELA MISTRAL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|70.846921824|71.173624682|67.249072405|76.265481558
25|2019|8b|COLEGIO CENTENARIO DE ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|77.900251824|74.738226677|70.727471758|78.232524936
26|2019|8b|ESCUELA REPUBLICA DE ARGENTINA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|91.735090003|91.729656861|90.13612513|96.29601309
27|2019|8b|ESCUELA ESMERALDA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|87.644043774|85.075454809|82.40512759|91.946905926
28|2019|8b|ESCUELA RICARDO SILVA ARRIAGADA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|3|1|75.855920184|81.815719692|71.707785794|81.000782082
29|2019|8b|ESCUELA AMERICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|1|71.709341774|74.573371438|67.737546395|79.202056773
31|2019|8b|ESCUELA DARIO SALAS DIAZ|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|1|2|71.676715271|76.211760761|68.812425187|78.896540379
32|2019|8b|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|1|2|79.401779005|75.285730836|71.022754419|74.817313406
33|2019|8b|ESCUELA CARLOS CONDELL DE LA HAZA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|2|2|75.633795247|82.231024313|74.090925749|81.779402691
36|2019|8b|ESCUELA IGNACIO CARRERA PINTO|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|1|1|74.545380241|72.654598824|64.938207404|74.857127975
38|2019|8b|ESCUELA ESPAÑA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|1|1|2|78.931686378|84.647867388|75.637298917|82.868433596
45|2019|8b|COLEGIO ITALIANO SANTA ANA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|3|1|77.042358246|80.388614367|71.416123|80.913399807
50|2019|8b|COLEGIO ADVENTISTA DE ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|3|1|77.891198121|78.760866775|72.0690261|79.462140544
52|2019|8b|LICEO BICENTENARIO DOMINGO SANTA MARIA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|3|1|75.127633254|73.514856944|70.841064553|75.397099923
56|2019|8b|COLEGIO SAN MARCOS DE ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|4|1|68.995557532|72.167874829|71.203371937|73.937226805
59|2019|8b|COLEGIO SAN JORGE|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|3|5|1|75.917616664|71.013562747|73.889007718|76.898021842
60|2019|8b|COLEGIO ALEMAN DE ARICA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|4|1|70.464627551|74.705492863|69.774215333|74.660145456
67|2019|8b|ABRAHAM LINCOLN SCHOOL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|2|4|1|71.138432187|68.793959991|68.341792509|68.855294061
69|2019|8b|JUNIOR COLLEGE|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|Arica|3|5|1|76.001470416|78.944853456|66.354944261|78.541007195
72|2019|8b|LICEO VALLE DE CODPA|15|DE ARICA Y PARINACOTA|151|ARICA|15102|CAMARONES|Arica|1|4|2|67.848493204|68.118738121|61.404337501|71.619380535
78|2019|8b|LICEO GRANADEROS|15|DE ARICA Y PARINACOTA|152|PARINACOTA|15201|PUTRE|Parinacota|1|2|2|81.492524882|78.8732831|78.432031859|86.983255
79|2019|8b|ESCUELA EL MARQUEZ|15|DE ARICA Y PARINACOTA|152|PARINACOTA|15201|PUTRE|Parinacota|1|2|2|70.685368133|71.909932388|61.765714337|72.157371065
90|2019|8b|ESCUELA INTERNADO VISVIRI|15|DE ARICA Y PARINACOTA|152|PARINACOTA|15202|GENERAL LAGOS|Parinacota|1|1|2|70.10630204|75.945170741|71.602428562|76.483004045
103|2019|8b|ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|75.929484756|79.396886426|75.463201916|81.472886313
106|2019|8b|INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|3|1|69.799246804|77.177059826|68.08837231|80.396453711
107|2019|8b|LICEO LIBERT. GRAL.BERNARDO O´HIGGINS|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|62.784628123|71.439335137|58.832742157|71.108956611
109|2019|8b|COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|76.556754422|70.918583035|74.500366059|74.678122366
110|2019|8b|LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|71.0085739|70.253653094|71.172206802|74.414731537
111|2019|8b|ESCUELA GABRIELA MISTRAL|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|2|1|77.539109416|78.365960987|75.746794002|79.868134228
112|2019|8b|ESCUELA EDUARDO LLANOS|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|2|1|76.971234536|79.328554395|72.276142098|81.354610689
113|2019|8b|ESCUELA ALMIRANTE PATRICIO LYNCH|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|2|1|70.67233918|67.952543325|64.883174355|72.717516168
114|2019|8b|ESCUELA PLACIDO VILLARROEL|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|75.274118608|81.473684015|70.198152681|80.989877674
116|2019|8b|COLEGIO REPUBLICA DE CROACIA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|2|1|76.926317743|77.370407372|71.042440095|79.63864001
117|2019|8b|ESCUELA PAULA JARAQUEMADA ALQUIZAR|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|69.353516614|70.289545127|61.545200205|71.20877762
119|2019|8b|ESCUELA CENTENARIO|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|77.206862535|76.876830086|70.26275568|74.800522124
122|2019|8b|ESCUELA THILDA PORTILLO OLIVARES|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|72.239108483|68.772523265|69.227446424|71.730432187
123|2019|8b|COLEGIO ESPANA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|2|1|77.759249487|78.314353865|70.792826171|77.972313718
125|2019|8b|ESCUELA PROFESOR MANUEL CASTRO RAMOS|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|74.737294862|72.807694614|69.049765505|76.066919179
126|2019|8b|COLEGIO REPUBLICA DE ITALIA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|1|3|1|74.418056763|72.330194107|67.709457298|74.936442397
127|2019|8b|LICEO MARIA AUXILIADORA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|4|1|68.675478267|74.492898996|68.173380754|74.33302092
129|2019|8b|LICEO SUPERIOR GABRIELA MISTRAL|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|3|1|79.139054797|83.624646963|72.731180879|83.680620892
130|2019|8b|COLEGIO NORTH COLLEGE|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|4|1|70.024658555|71.679721552|60.228866379|69.4650193
131|2019|8b|COLEGIO ESCASCE|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|3|1|70.345203966|65.505454213|55.363244535|68.519350973
132|2019|8b|COLEGIO BAJO MOLLE|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|4|1|66.768493159|64.237091914|66.518745052|70.198293918
133|2019|8b|COLEGIO ADVENTISTA DE IQUIQUE|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|4|1|74.15684908|75.926235027|70.683383789|75.530045493
134|2019|8b|LICEO ATENEA|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|3|1|74.283947164|77.434917368|59.014241148|76.936586272
144|2019|8b|COLEGIO IQUIQUE YOUNG SCHOOL|1|DE TARAPACÁ|11|IQUIQUE|1101|IQUIQUE|Iquique|2|3|1|70.595122208|62.106209347|63.24650767|68.88263966
154|2019|8b|ESCUELA BASICA FRONTERIZA|1|DE TARAPACÁ|14|TAMARUGAL|1404|HUARA|Tamarugal|1|4|2|75.606626534|82.253584028|71.332827184|84.16238439
156|2019|8b|ESCUELA PISAGUA|1|DE TARAPACÁ|14|TAMARUGAL|1404|HUARA|Tamarugal|1|1|2|74.641566502|79.68794603|66.170929158|78.017275018
160|2019|8b|ESCUELA PACHICA|1|DE TARAPACÁ|14|TAMARUGAL|1404|HUARA|Tamarugal|1|2|2|67.548691783|70.11690962|64.923319575|66.471483701
161|2019|8b|LICEO DE HUARA|1|DE TARAPACÁ|14|TAMARUGAL|1404|HUARA|Tamarugal|1|2|2|72.47354708|62.491559251|66.411936166|68.223868404
162|2019|8b|ESCUELA SIBAYA|1|DE TARAPACÁ|14|TAMARUGAL|1404|HUARA|Tamarugal|1|2|2|93.953660646|81.956548127|81.769296622|89.192952603
167|2019|8b|ESCUELA CAMINA|1|DE TARAPACÁ|14|TAMARUGAL|1402|CAMIÑA|Tamarugal|1|2|2|72.122017612|77.387157622|78.338535694|82.295955992
178|2019|8b|LICEO TECNICO PROFESIONAL COLCHANE|1|DE TARAPACÁ|14|TAMARUGAL|1403|COLCHANE|Tamarugal|1|1|2|80.47322566|73.044123692|69.82775497|76.919293416
187|2019|8b|ESCUELA VERTIENTE DEL SABER|1|DE TARAPACÁ|14|TAMARUGAL|1405|PICA|Tamarugal|1|3|1|70.993779881|72.911772961|73.088687455|74.649573013
188|2019|8b|ESC. MATILLA DE NUEVA EXTREMADURA|1|DE TARAPACÁ|14|TAMARUGAL|1405|PICA|Tamarugal|1|2|2|73.323031557|71.917154513|69.146232233|75.326387973
192|2019|8b|ESCUELA BASICA MAMINA|1|DE TARAPACÁ|14|TAMARUGAL|1401|POZO ALMONTE|Tamarugal|1|2|2|72.216552023|73.995776392|74.497263691|83.057122884
193|2019|8b|ESCUELA BASICA POZO ALMONTE|1|DE TARAPACÁ|14|TAMARUGAL|1401|POZO ALMONTE|Tamarugal|1|2|2|73.455102199|75.458319573|67.991821971|75.684640473
195|2019|8b|ESCUELA BASICA LA TIRANA|1|DE TARAPACÁ|14|TAMARUGAL|1401|POZO ALMONTE|Tamarugal|1|2|2|77.376704321|83.28027415|76.457349395|85.978808068
198|2019|8b|ESCUELA BASICA LA HUAYCA|1|DE TARAPACÁ|14|TAMARUGAL|1401|POZO ALMONTE|Tamarugal|1|2|2|77.685937577|80.489693929|71.997973338|76.303042566
201|2019|8b|ESCUELA CARLOS CONDELL DE LA HAZA|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|1|3|1|80.772216317|82.179909087|79.541603703|81.809937824
203|2019|8b|ESCUELA PABLO NERUDA|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|1|3|1|75.091981607|78.901061669|71.226048699|75.982028892
204|2019|8b|ESCUELA L.GRAL.BERNARDO O´HIGGINS R.|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|1|2|1|74.707366835|81.444770342|72.2845621|81.231687203
205|2019|8b|ESCUELA ARTURO PRAT CHACON|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|1|2|1|78.862996923|77.690445377|72.229015855|79.336991261
206|2019|8b|ESCUELA ESTADOS UNIDOS DE NORTEAMERICA|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|1|2|1|74.127013766|84.274034515|74.48364661|72.997565103
208|2019|8b|COLEGIO SAGRADA FAMILIA|2|DE ANTOFAGASTA|23|TOCOPILLA|2301|TOCOPILLA|Antofagasta|2|4|1|74.601110771|70.773031808|68.273833175|72.552112883
210|2019|8b|ESCUELA ARTURO PEREZ CANTO|2|DE ANTOFAGASTA|23|TOCOPILLA|2302|MARÍA ELENA|Antofagasta|1|3|1|73.441706345|71.296665918|71.442876668|76.496322755
223|2019|8b|ESCUELA CLAUDIO ARRAU|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|75.667583419|80.454111003|70.024862876|80.932469399
224|2019|8b|ESCUELA GRECIA|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|2|1|78.463380366|82.312470293|73.597848251|84.808277366
225|2019|8b|ESCUELA REPUBLICA DE BOLIVIA|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|75.051286029|76.543859663|72.546909878|78.172585215
226|2019|8b|ESCUELA BASICA EMILIO SOTOMAYOR|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|83.877965119|80.106623356|80.132717553|83.846406932
227|2019|8b|ESCUELA BASICA PRESIDENTE BALMACEDA|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|78.982914714|78.749222756|70.412971608|80.540694479
228|2019|8b|ESCUELA BASICA VADO DE TOPATER|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|75.797980332|71.207669273|66.429987139|73.213940699
229|2019|8b|ESCUELA REPUBLICA DE CHILE|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|77.426989642|72.224199169|68.068433408|75.984654603
230|2019|8b|ESCUELA BASICA ANDRES BELLO|2|DE ANTOFAGASTA|22|EL LOA|2201|CALAMA|El Loa|1|3|1|83.46460231|85.775403356|79.89732926|86.993841329
