cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect2m_com;prom_mate2m_com;dif_lect2m_com;dif_mate2m_com;sigdif_lect2m_com;sigdif_mate2m_com;fecha_bbdd;codigo_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;1101;Iquique;11;Iquique;247;252;10;8;1;1;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;11;Iquique;1107;Alto Hospicio;11;Iquique;240;248;1;3;0;0;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;231;247;-7;7;0;0;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;14;Tamarugal;1402;Camiña;14;Tamarugal;232;239;-14;-16;0;0;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;14;Tamarugal;1403;Colchane;14;Tamarugal;195;203;-5;10;0;0;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;14;Tamarugal;1404;Huara;14;Tamarugal;211;222;-23;-5;-1;0;20240418;final20240418v1;2m;2023
1;Región de Tarapacá;14;Tamarugal;1405;Pica;14;Tamarugal;232;246;-12;-7;-1;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;243;248;1;1;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;225;217;11;6;1;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;208;219;13;-3;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;232;230;-4;-2;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;22;El Loa;2201;Calama;22;El Loa;251;258;4;6;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;22;El Loa;2202;Ollagüe;22;El Loa;0;0;0;0;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;22;El Loa;2203;San Pedro de Atacama;22;El Loa;229;243;-9;9;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;23;Tocopilla;2301;Tocopilla;21;Antofagasta;229;232;0;9;0;0;20240418;final20240418v1;2m;2023
2;Región de Antofagasta;23;Tocopilla;2302;María Elena;21;Antofagasta;221;245;-2;15;0;0;20240418;final20240418v1;2m;2023
3;Región de Atacama;31;Copiapó;3101;Copiapó;31;Copiapo - Chanaral;248;251;8;14;1;1;20240418;final20240418v1;2m;2023
