cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect2m_deprov;prom_mate2m_deprov;dif_lect2m_deprov;dif_mate2m_deprov;sigdif_lect2m_deprov;sigdif_mate2m_deprov;fecha_bbdd;codigo_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;247;253;3;3;0;0;20250422;preliminar20240422v1;2m;2024
1;Región de Tarapacá;14;Tamarugal;243;244;14;1;1;0;20250422;preliminar20240422v1;2m;2024
2;Región de Antofagasta;21;Antofagasta;245;249;4;4;0;0;20250422;preliminar20240422v1;2m;2024
2;Región de Antofagasta;22;El Loa;249;262;-1;4;0;0;20250422;preliminar20240422v1;2m;2024
3;Región de Atacama;31;Copiapo - Chanaral;236;235;-10;-14;-1;-1;20250422;preliminar20240422v1;2m;2024
3;Región de Atacama;32;Huasco - Vallenar;254;264;9;12;1;1;20250422;preliminar20240422v1;2m;2024
4;Región de Coquimbo;41;Elqui;251;258;1;0;0;0;20250422;preliminar20240422v1;2m;2024
4;Región de Coquimbo;42;Limari;243;251;-1;0;0;0;20250422;preliminar20240422v1;2m;2024
4;Región de Coquimbo;43;Choapa;234;239;5;7;0;0;20250422;preliminar20240422v1;2m;2024
5;Región de Valparaíso;51;Quillota - Petorca;244;251;3;6;0;0;20250422;preliminar20240422v1;2m;2024
5;Región de Valparaíso;52;San Felipe - Los Andes;245;254;-2;6;0;0;20250422;preliminar20240422v1;2m;2024
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;248;257;3;1;0;0;20250422;preliminar20240422v1;2m;2024
5;Región de Valparaíso;54;San Antonio;245;246;3;2;0;0;20250422;preliminar20240422v1;2m;2024
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;248;255;1;3;0;0;20250422;preliminar20240422v1;2m;2024
6;Región del Libertador Bernardo O'higgins;62;Colchagua;247;251;0;-1;0;0;20250422;preliminar20240422v1;2m;2024
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;241;237;-7;-6;-1;0;20250422;preliminar20240422v1;2m;2024
7;Región del Maule;71;Curico;255;270;1;10;0;1;20250422;preliminar20240422v1;2m;2024
7;Región del Maule;72;Talca;245;254;-1;2;0;0;20250422;preliminar20240422v1;2m;2024
7;Región del Maule;73;Linares;248;261;-1;2;0;0;20250422;preliminar20240422v1;2m;2024
7;Región del Maule;74;Cauquenes;242;245;2;2;0;0;20250422;preliminar20240422v1;2m;2024
8;Región del Biobío;82;Bio Bio;245;253;1;3;0;0;20250422;preliminar20240422v1;2m;2024
8;Región del Biobío;83;Concepcion;248;261;1;2;0;0;20250422;preliminar20240422v1;2m;2024
8;Región del Biobío;84;Arauco;242;249;-2;3;0;0;20250422;preliminar20240422v1;2m;2024
9;Región de La Araucanía;91;Malleco;235;242;-5;2;0;0;20250422;preliminar20240422v1;2m;2024
9;Región de La Araucanía;92;Cautin Norte;241;250;-1;2;0;0;20250422;preliminar20240422v1;2m;2024
9;Región de La Araucanía;93;Cautin Sur;243;248;-4;-2;0;0;20250422;preliminar20240422v1;2m;2024
10;Región de Los Lagos;101;Llanquihue;244;251;-2;2;0;0;20250422;preliminar20240422v1;2m;2024
10;Región de Los Lagos;102;Chiloe;235;244;1;3;0;0;20250422;preliminar20240422v1;2m;2024
10;Región de Los Lagos;103;Osorno;248;257;-2;1;0;0;20250422;preliminar20240422v1;2m;2024
10;Región de Los Lagos;104;Palena;234;245;-7;-9;0;0;20250422;preliminar20240422v1;2m;2024
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;249;257;3;1;0;0;20250422;preliminar20240422v1;2m;2024
12;Región de Magallanes y de la Antártica C;121;Magallanes;247;258;0;5;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;131;Centro;254;260;3;1;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;132;Sur;245;254;1;4;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;133;Oriente;273;300;1;1;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;134;Poniente;248;261;2;4;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;135;Talagante;246;254;3;3;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;136;Cordillera;253;262;5;3;0;0;20250422;preliminar20240422v1;2m;2024
13;Región metropolitana de santiago;137;Norte;253;264;3;2;0;0;20250422;preliminar20240422v1;2m;2024
14;Región de los ríos;141;Valdivia;245;248;-1;1;0;0;20250422;preliminar20240422v1;2m;2024
14;Región de los ríos;142;Ranco;247;254;-5;-5;0;0;20250422;preliminar20240422v1;2m;2024
15;Región de arica y parinacota;151;Arica;251;272;2;11;0;1;20250422;preliminar20240422v1;2m;2024
15;Región de arica y parinacota;152;Parinacota;243;224;29;4;1;0;20250422;preliminar20240422v1;2m;2024
16;Región de Ñuble;161;Diguillín;248;261;1;3;0;0;20250422;preliminar20240422v1;2m;2024
