cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect2m_com;prom_mate2m_com;dif_lect2m_com;dif_mate2m_com;sigdif_lect2m_com;sigdif_mate2m_com;palu_eda_ins_lect2m_com;palu_eda_ele_lect2m_com;palu_eda_ade_lect2m_com;palu_eda_ins_mate2m_com;palu_eda_ele_mate2m_com;palu_eda_ade_mate2m_com;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;1101;Iquique;11;Iquique;248;254;0;1;0;0;50.6;29.8;19.6;53.4;29.7;16.8;v12025;20260423;2m;2025
1;Región de Tarapacá;11;Iquique;1107;Alto Hospicio;11;Iquique;242;255;-3;3;0;0;56.3;28.1;15.6;52.1;30.6;17.3;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;245;261;4;19;0;1;52.7;30.6;16.7;47.1;35.8;17.1;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;1402;Camiña;14;Tamarugal;224;222;-17;-4;-1;0;63.6;36.4;0;73.9;26.1;0;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;1403;Colchane;14;Tamarugal;202;230;-19;8;-1;0;94.4;5.6;0;55.6;44.4;0;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;1404;Huara;14;Tamarugal;208;200;-25;-14;-1;0;68.4;26.3;5.3;94.9;5.1;0;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;1405;Pica;14;Tamarugal;245;266;-5;10;0;0;53.2;36.4;10.4;44.7;36.8;18.4;v12025;20260423;2m;2025
2;Región de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;248;256;1;4;0;0;51;28;21;53.1;29;17.9;v12025;20260423;2m;2025
2;Región de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;224;219;-6;12;0;0;74.2;19.2;6.6;79.1;18.7;2.1;v12025;20260423;2m;2025
2;Región de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;232;207;5;9;0;0;;;;90;10;0;v12025;20260423;2m;2025
2;Región de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;253;258;10;-8;1;0;46.5;32.7;20.8;48.1;32.7;19.1;v12025;20260423;2m;2025
2;Región de Antofagasta;22;El Loa;2201;Calama;22;El Loa;252;265;1;0;0;0;47.4;32.6;19.9;44.6;35.2;20.2;v12025;20260423;2m;2025
2;Región de Antofagasta;22;El Loa;2202;Ollagüe;22;El Loa;282;331;;;;;;;;;;;v12025;20260423;2m;2025
2;Región de Antofagasta;22;El Loa;2203;San Pedro de Atacama;22;El Loa;234;247;21;23;1;1;60;25.3;14.7;53.9;37.3;8.8;v12025;20260423;2m;2025
2;Región de Antofagasta;23;Tocopilla;2301;Tocopilla;21;Antofagasta;233;234;13;8;1;0;63.3;22.8;13.9;65.4;26.7;7.9;v12025;20260423;2m;2025
2;Región de Antofagasta;23;Tocopilla;2302;María Elena;21;Antofagasta;233;260;-2;20;0;1;64.7;22.1;13.2;55.2;25.4;19.4;v12025;20260423;2m;2025
3;Región de Atacama;31;Copiapó;3101;Copiapó;31;Copiapo - Chanaral;241;251;1;12;0;1;55.3;26.2;18.6;56.9;27.8;15.3;v12025;20260423;2m;2025
3;Región de Atacama;31;Copiapó;3102;Caldera;31;Copiapo - Chanaral;227;223;1;0;0;0;63.9;24.9;11.2;75.4;19.8;4.8;v12025;20260423;2m;2025
3;Región de Atacama;31;Copiapó;3103;Tierra Amarilla;31;Copiapo - Chanaral;199;207;-2;-9;0;0;90.4;8.7;1;87;10.2;2.8;v12025;20260423;2m;2025
3;Región de Atacama;32;Chañaral;3201;Chañaral;31;Copiapo - Chanaral;237;224;18;-2;1;0;60.1;27.2;12.7;74;22.6;3.4;v12025;20260423;2m;2025
3;Región de Atacama;32;Chañaral;3202;Diego de Almagro;31;Copiapo - Chanaral;232;242;-6;8;0;0;63.5;25.1;11.4;62.3;25.7;12;v12025;20260423;2m;2025
3;Región de Atacama;33;Huasco;3301;Vallenar;32;Huasco - Vallenar;253;269;-8;0;-1;0;49.8;25.3;24.9;42.8;31.2;26;v12025;20260423;2m;2025
3;Región de Atacama;33;Huasco;3302;Alto del Carmen;32;Huasco - Vallenar;239;295;2;7;0;0;62.5;18.8;18.8;16.7;50;33.3;v12025;20260423;2m;2025
3;Región de Atacama;33;Huasco;3303;Freirina;32;Huasco - Vallenar;232;246;-5;9;0;0;64.3;28.6;7.1;54;35.6;10.3;v12025;20260423;2m;2025
3;Región de Atacama;33;Huasco;3304;Huasco;32;Huasco - Vallenar;219;221;-9;-9;0;0;69.2;24.4;6.4;78.8;20;1.2;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4101;La Serena;41;Elqui;255;267;1;6;0;0;44.3;30.9;24.8;45.6;31.4;23;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4102;Coquimbo;41;Elqui;247;254;-2;1;0;0;50;31.1;18.9;52;33.1;14.8;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4103;Andacollo;41;Elqui;253;270;-7;-22;0;-1;48.2;34.2;17.5;39.5;38.6;21.9;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4104;La Higuera;41;Elqui;215;232;0;2;0;0;77.4;22.6;0;71.4;17.9;10.7;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4105;Paihuano;41;Elqui;230;217;3;-1;0;0;58.1;25.6;16.3;81;16.7;2.4;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;4106;Vicuña;41;Elqui;251;252;4;-2;0;0;49;32.7;18.3;53;29.7;17.3;v12025;20260423;2m;2025
4;Región de Coquimbo;43;Limarí;4303;Monte Patria;42;Limari;234;243;10;-1;1;0;61.4;26.7;11.9;57.8;34.6;7.6;v12025;20260423;2m;2025
