cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect2m_deprov;prom_mate2m_deprov;dif_lect2m_deprov;dif_mate2m_deprov;sigdif_lect2m_deprov;sigdif_mate2m_deprov;palu_eda_ins_lect2m_deprov;palu_eda_ele_lect2m_deprov;palu_eda_ade_lect2m_deprov;palu_eda_ins_mate2m_deprov;palu_eda_ele_mate2m_deprov;palu_eda_ade_mate2m_deprov;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;245;254;-2;1;0;0;52.8;29.1;18;52.9;30;17;v12025;20260423;2m;2025
1;Región de Tarapacá;14;Tamarugal;239;253;-4;9;0;0;56.7;31.6;11.7;52.5;33.2;14.3;v12025;20260423;2m;2025
2;Región de Antofagasta;21;Antofagasta;246;253;1;4;0;0;52.8;27.4;19.8;54.9;28.5;16.6;v12025;20260423;2m;2025
2;Región de Antofagasta;22;El Loa;252;264;3;2;0;0;47.9;32.4;19.8;45;35.3;19.7;v12025;20260423;2m;2025
3;Región de Atacama;31;Copiapo - Chanaral;237;245;1;10;0;1;57.9;25.4;16.6;60.7;26.1;13.1;v12025;20260423;2m;2025
3;Región de Atacama;32;Huasco - Vallenar;248;264;-6;0;-1;0;53.1;25.2;21.7;45.7;31.4;22.9;v12025;20260423;2m;2025
4;Región de Coquimbo;41;Elqui;251;261;0;3;0;0;47;31;22;48.6;32;19.4;v12025;20260423;2m;2025
4;Región de Coquimbo;42;Limari;247;252;4;1;0;0;50.3;30.3;19.5;52.7;33.1;14.2;v12025;20260423;2m;2025
4;Región de Coquimbo;43;Choapa;233;239;-1;0;0;0;62.8;24;13.2;60.6;30.8;8.6;v12025;20260423;2m;2025
5;Región de Valparaíso;51;Quillota - Petorca;244;252;0;1;0;0;52.8;28.1;19.1;53.9;30.8;15.3;v12025;20260423;2m;2025
5;Región de Valparaíso;52;San Felipe - Los Andes;249;259;4;5;0;0;49.6;30.7;19.7;49.3;32.7;18;v12025;20260423;2m;2025
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;248;262;0;5;0;0;49.2;29.9;20.9;48.1;32.5;19.4;v12025;20260423;2m;2025
5;Región de Valparaíso;54;San Antonio;242;243;-3;-3;0;0;53.8;28.8;17.4;62.5;24.4;13.2;v12025;20260423;2m;2025
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;250;259;2;4;0;0;49;29.5;21.4;51.3;29.6;19.1;v12025;20260423;2m;2025
6;Región del Libertador Bernardo O'higgins;62;Colchagua;250;257;3;6;0;0;48.4;29.2;22.4;52;28.8;19.2;v12025;20260423;2m;2025
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;234;235;-7;-2;0;0;62;25.6;12.4;65;26.6;8.4;v12025;20260423;2m;2025
7;Región del Maule;71;Curico;258;271;3;1;0;0;42.5;32.1;25.4;42.9;32;25.1;v12025;20260423;2m;2025
7;Región del Maule;72;Talca;253;265;8;11;1;1;45.3;30.7;24;46.9;30.3;22.8;v12025;20260423;2m;2025
7;Región del Maule;73;Linares;251;264;3;3;0;0;47.1;30.3;22.6;45.8;33.3;20.9;v12025;20260423;2m;2025
7;Región del Maule;74;Cauquenes;245;250;3;5;0;0;51.3;30.3;18.4;55.3;29.6;15.1;v12025;20260423;2m;2025
8;Región del Biobío;82;Bio Bio;248;257;3;4;0;0;50.2;30.5;19.3;49.5;34;16.5;v12025;20260423;2m;2025
8;Región del Biobío;83;Concepcion;250;265;2;4;0;0;47.4;29.9;22.6;46.7;31.6;21.7;v12025;20260423;2m;2025
8;Región del Biobío;84;Arauco;249;256;7;7;1;0;48.4;31.1;20.5;53.1;30.9;16;v12025;20260423;2m;2025
9;Región de La Araucanía;91;Malleco;237;246;2;4;0;0;58.6;26.8;14.6;59.3;28.1;12.6;v12025;20260423;2m;2025
9;Región de La Araucanía;92;Cautin Norte;245;255;4;5;0;0;52.5;27.7;19.8;52.2;30.6;17.3;v12025;20260423;2m;2025
9;Región de La Araucanía;93;Cautin Sur;243;253;0;5;0;0;53;29.9;17.1;51.6;33.2;15.1;v12025;20260423;2m;2025
10;Región de Los Lagos;101;Llanquihue;245;255;1;4;0;0;51.3;29.1;19.6;53.2;29.4;17.4;v12025;20260423;2m;2025
10;Región de Los Lagos;102;Chiloe;239;247;4;3;0;0;58.3;25.2;16.4;56.5;32.2;11.3;v12025;20260423;2m;2025
10;Región de Los Lagos;103;Osorno;250;259;2;2;0;0;47.8;30.5;21.6;49.9;31.1;19.1;v12025;20260423;2m;2025
10;Región de Los Lagos;104;Palena;240;255;6;10;0;0;54.3;34.3;11.4;49;38.5;12.5;v12025;20260423;2m;2025
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;246;261;-3;4;0;0;52.6;27.2;20.2;47.2;34.1;18.8;v12025;20260423;2m;2025
12;Región de Magallanes y de la Antártica C;121;Magallanes;245;254;-2;-4;0;0;51.7;29.9;18.3;52.6;31.8;15.6;v12025;20260423;2m;2025
13;Región metropolitana de santiago;131;Centro;254;264;0;4;0;0;44.4;30.5;25.1;46;33.2;20.8;v12025;20260423;2m;2025
13;Región metropolitana de santiago;132;Sur;246;258;1;4;0;0;51;29.3;19.7;50.8;31.1;18.1;v12025;20260423;2m;2025
13;Región metropolitana de santiago;133;Oriente;273;305;0;5;0;0;29.7;31.5;38.8;26;28.1;45.9;v12025;20260423;2m;2025
13;Región metropolitana de santiago;134;Poniente;249;263;1;2;0;0;49;29.1;22;47.7;30.7;21.6;v12025;20260423;2m;2025
13;Región metropolitana de santiago;135;Talagante;249;259;3;5;0;0;49.1;29.4;21.5;49.1;32.2;18.7;v12025;20260423;2m;2025
