agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect4b_com|prom_mate4b_com|dif_lect4b_com|dif_mate4b_com|sigdif_lect4b_com|sigdif_mate4b_com
2016|20171024|final20171024v1|4b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11201|AISÉN|1|COYHAIQUE|261|258|-7|-3|No significativa|No significativa
2016|20171024|final20171024v1|4b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5602|ALGARROBO|2|SAN ANTONIO|253|245|-5|4|No significativa|No significativa
2016|20171024|final20171024v1|4b|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13502|ALHUÉ|7|TALAGANTE|248|230|-12|-14|Negativa y significativa|Negativa y significativa
2016|20171024|final20171024v1|4b|8|REGION DEL BIOBIO|3|BIOBÍO|8314|ALTO BIOBÍO|2|BIOBÍO|227|204|-1|6|No significativa|No significativa
2016|20171024|final20171024v1|4b|3|REGION DE ATACAMA|3|HUASCO|3302|ALTO DEL CARMEN|2|HUASCO|279|254|13|17|Positiva y significativa|Positiva y significativa
2016|20171024|final20171024v1|4b|1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|1|IQUIQUE|255|250|0|2|No significativa|No significativa
2016|20171024|final20171024v1|4b|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|1|CHILOÉ|268|259|-2|1|No significativa|No significativa
2016|20171024|final20171024v1|4b|4|REGION DE COQUIMBO|1|ELQUI|4103|ANDACOLLO|2|ELQUI|266|264|3|11|No significativa|Positiva y significativa
2016|20171024|final20171024v1|4b|9|REGION DE LA ARAUCANIA|2|MALLECO|9201|ANGOL|3|MALLECO|266|264|-9|-5|Negativa y significativa|No significativa
2016|20171024|final20171024v1|4b|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|1|ANTOFAGASTA|268|262|1|3|No significativa|No significativa
2016|20171024|final20171024v1|4b|8|REGION DEL BIOBIO|3|BIOBÍO|8302|ANTUCO|2|BIOBÍO|267|258|7|2|No significativa|No significativa
2016|20171024|final20171024v1|4b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12202|ANTÁRTICA|1|MAGALLANES||||||
2016|20171024|final20171024v1|4b|8|REGION DEL BIOBIO|2|ARAUCO|8202|ARAUCO|1|ARAUCO|270|261|0|2|No significativa|No significativa
2016|20171024|final20171024v1|4b|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|1|ARICA|274|271|4|5|No significativa|No significativa
2016|20171024|final20171024v1|4b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|6|SANTIAGO SUR|258|251|-6|-7|No significativa|Negativa y significativa
2016|20171024|final20171024v1|4b|8|REGION DEL BIOBIO|4|ÑUBLE|8402|BULNES|4|ÑUBLE|247|240|-8|-6|No significativa|No significativa
2016|20171024|final20171024v1|4b|5|REGION DE VALPARAISO|4|PETORCA|5402|CABILDO|1|QUILLOTA - PETORCA|254|244|-2|-10|No significativa|Negativa y significativa
2016|20171024|final20171024v1|4b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12201|CABO DE HORNOS|1|MAGALLANES|266|269|-4|-4|No significativa|No significativa
2016|20171024|final20171024v1|4b|8|REGION DEL BIOBIO|3|BIOBÍO|8303|CABRERO|2|BIOBÍO|265|261|7|-1|No significativa|No significativa
2016|20171024|final20171024v1|4b|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|2|EL LOA|271|266|5|3|No significativa|No significativa
2016|20171024|final20171024v1|4b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10102|CALBUCO|2|LLANQUIHUE|256|248|-3|-1|No significativa|No significativa
2016|20171024|final20171024v1|4b|3|REGION DE ATACAMA|1|COPIAPÓ|3102|CALDERA|1|COPIAPÓ - CHAÑARAL|255|241|1|-5|No significativa|No significativa
2016|20171024|final20171024v1|4b|5|REGION DE VALPARAISO|5|QUILLOTA|5502|CALERA|1|QUILLOTA - PETORCA|264|263|-3|0|No significativa|No significativa
2016|20171024|final20171024v1|4b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13403|CALERA DE TANGO|6|SANTIAGO SUR|274|265|11|6|Positiva y significativa|No significativa
2016|20171024|final20171024v1|4b|5|REGION DE VALPARAISO|3|LOS ANDES|5302|CALLE LARGA|3|SAN FELIPE - LOS ANDES|249|238|-6|-10|No significativa|Negativa y significativa
