agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2016|20171024|final20171024v1|4b|5|1|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|27|27|274|257|-22|-7|6|-7|Negativa y significativa|No significativa|No significativa|No significativa|||||25.9|29.6|44.400002|40.700001|44.400002|14.8|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|23|271|259|19|19|17|11|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||29.200001|25|45.799999|52.200001|17.4|30.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|9|4|ESCUELA REPUBLICA DE ISRAEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|116|123|291|298|18|39|23|34|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||11.2|30.200001|58.599998|5.6999998|35.799999|58.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|10|8|ESCUELA REPUBLICA DE FRANCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|21|20|243|235|-55|-49|-11|-13|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||61.900002|9.5|28.6|70|20|10|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|11|6|ESC. GRAL. PEDRO LAGOS MARCHANT|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|30|33|257|236|14|-12|3|-12|No significativa|No significativa|No significativa|Negativa y significativa|||||43.299999|23.299999|33.299999|60.599998|33.299999|6.0999999|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|12|4|ESCUELA GRAL JOSE MIGUEL CARRERA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|23|279|284|-21|-13|25|36|Negativa y significativa|No significativa|Positiva y significativa|Positiva y significativa|||||4.1999998|62.5|33.299999|8.6999998|60.900002|30.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|13|2|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|26|26|272|263|12|0|18|15|No significativa|No significativa|Positiva y significativa|Positiva y significativa|||||23.1|26.9|50|34.599998|42.299999|23.1|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|14|0|ESCUELA ROMULO J. PENA MATURANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|14|14|224|255|-8|29|-30|7|No significativa|Positiva y significativa|Negativa y significativa|No significativa|||||71.400002|14.3|14.3|35.700001|50|14.3|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|22|23|242|226|-17|-19|-26|-38|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||45.5|36.400002|18.200001|60.900002|30.4|8.6999998|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|16|7|ESCUELA REGIMIENTO RANCAGUA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|16|16|246|228|17|2|-8|-20|No significativa|No significativa|No significativa|Negativa y significativa|||||56.299999|25|18.799999|56.299999|37.5|6.3000002|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|17|5|ESCUELA SUBTTE. LUIS CRUZ MARTINEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|20|20|240|232|1|16|-14|-16|No significativa|No significativa|Negativa y significativa|Negativa y significativa|||||60|20|20|65|30|5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|18|3|ESC. COMTE. JUAN JOSE SAN MARTIN|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|21|22|195|212|-41|-19|-59|-36|Negativa y significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||90.5|4.8000002|4.8000002|81.800003|9.1000004|9.1000004|Rbd y curso rinde Simce
2016|20171024|final20171024v1|4b|19|1|ESC. HUMBERTO VALENZUELA GARCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|25|259|226|17|-18|5|-22|Positiva y significativa|Negativa y significativa|No significativa|Negativa y significativa|||||41.700001|20.799999|37.5|56|40|4|Rbd y curso rinde Simce
