cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect4b_deprov;prom_mate4b_deprov;dif_lect4b_deprov;dif_mate4b_deprov;sigdif_lect4b_deprov;sigdif_mate4b_deprov;fecha_bbdd;codigo_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;270;254;3;3;0;0;20250422;preliminar20240422v1;4b;2024
1;Región de Tarapacá;14;Tamarugal;252;246;2;7;0;0;20250422;preliminar20240422v1;4b;2024
2;Región de Antofagasta;21;Antofagasta;275;262;2;5;0;0;20250422;preliminar20240422v1;4b;2024
2;Región de Antofagasta;22;El Loa;279;261;6;3;1;0;20250422;preliminar20240422v1;4b;2024
3;Región de Atacama;31;Copiapo - Chanaral;269;252;-3;-4;0;0;20250422;preliminar20240422v1;4b;2024
3;Región de Atacama;32;Huasco - Vallenar;276;266;6;10;0;1;20250422;preliminar20240422v1;4b;2024
4;Región de Coquimbo;41;Elqui;278;261;6;4;1;0;20250422;preliminar20240422v1;4b;2024
4;Región de Coquimbo;42;Limari;278;264;11;8;1;1;20250422;preliminar20240422v1;4b;2024
4;Región de Coquimbo;43;Choapa;267;252;5;11;0;1;20250422;preliminar20240422v1;4b;2024
5;Región de Valparaíso;51;Quillota - Petorca;271;257;4;4;0;0;20250422;preliminar20240422v1;4b;2024
5;Región de Valparaíso;52;San Felipe - Los Andes;273;257;4;4;0;0;20250422;preliminar20240422v1;4b;2024
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;272;260;4;5;0;0;20250422;preliminar20240422v1;4b;2024
5;Región de Valparaíso;54;San Antonio;272;256;8;8;1;1;20250422;preliminar20240422v1;4b;2024
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;278;264;8;7;1;1;20250422;preliminar20240422v1;4b;2024
6;Región del Libertador Bernardo O'higgins;62;Colchagua;277;267;6;7;0;1;20250422;preliminar20240422v1;4b;2024
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;269;255;6;7;0;1;20250422;preliminar20240422v1;4b;2024
7;Región del Maule;71;Curico;279;270;6;8;1;1;20250422;preliminar20240422v1;4b;2024
7;Región del Maule;72;Talca;281;269;8;7;1;1;20250422;preliminar20240422v1;4b;2024
7;Región del Maule;73;Linares;278;266;9;8;1;1;20250422;preliminar20240422v1;4b;2024
7;Región del Maule;74;Cauquenes;276;265;5;8;0;1;20250422;preliminar20240422v1;4b;2024
8;Región del Biobío;82;Bio Bio;275;264;3;5;0;0;20250422;preliminar20240422v1;4b;2024
8;Región del Biobío;83;Concepcion;281;266;6;6;1;1;20250422;preliminar20240422v1;4b;2024
8;Región del Biobío;84;Arauco;278;267;11;15;1;1;20250422;preliminar20240422v1;4b;2024
9;Región de La Araucanía;91;Malleco;274;259;8;8;1;1;20250422;preliminar20240422v1;4b;2024
9;Región de La Araucanía;92;Cautin Norte;277;262;6;6;1;1;20250422;preliminar20240422v1;4b;2024
9;Región de La Araucanía;93;Cautin Sur;271;255;4;4;0;0;20250422;preliminar20240422v1;4b;2024
10;Región de Los Lagos;101;Llanquihue;276;260;5;4;0;0;20250422;preliminar20240422v1;4b;2024
10;Región de Los Lagos;102;Chiloe;275;257;7;3;1;0;20250422;preliminar20240422v1;4b;2024
10;Región de Los Lagos;103;Osorno;280;265;10;8;1;1;20250422;preliminar20240422v1;4b;2024
10;Región de Los Lagos;104;Palena;255;245;-10;-4;0;0;20250422;preliminar20240422v1;4b;2024
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;277;260;10;8;1;1;20250422;preliminar20240422v1;4b;2024
12;Región de Magallanes y de la Antártica C;121;Magallanes;277;264;5;5;0;0;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;131;Centro;281;265;5;5;0;0;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;132;Sur;274;261;7;7;1;1;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;133;Oriente;298;287;6;3;1;0;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;134;Poniente;276;262;5;5;1;0;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;135;Talagante;275;261;6;6;1;1;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;136;Cordillera;277;264;6;5;1;1;20250422;preliminar20240422v1;4b;2024
13;Región metropolitana de santiago;137;Norte;280;267;7;5;1;0;20250422;preliminar20240422v1;4b;2024
14;Región de los ríos;141;Valdivia;274;258;5;5;0;0;20250422;preliminar20240422v1;4b;2024
14;Región de los ríos;142;Ranco;276;261;6;8;0;1;20250422;preliminar20240422v1;4b;2024
15;Región de arica y parinacota;151;Arica;286;272;9;8;1;1;20250422;preliminar20240422v1;4b;2024
15;Región de arica y parinacota;152;Parinacota;253;251;-10;-8;0;0;20250422;preliminar20240422v1;4b;2024
16;Región de Ñuble;161;Diguillín;279;268;8;7;1;1;20250422;preliminar20240422v1;4b;2024
