cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;palu_eda_ins_lect4b_com;palu_eda_ele_lect4b_com;palu_eda_ade_lect4b_com;palu_eda_ins_mate4b_com;palu_eda_ele_mate4b_com;palu_eda_ade_mate4b_com;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;1101;Iquique;11;Iquique;273;256;-1;-4;0;0;29.1;25.8;45.2;41.1;37.5;21.4;v12025;20260423;4b;2025
1;Región de Tarapacá;11;Iquique;1107;Alto Hospicio;11;Iquique;260;246;-5;0;0;0;36.8;27.1;36;50.2;35.5;14.3;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;256;249;1;-2;0;0;41;26.1;32.9;45.4;36.8;17.9;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;1402;Camiña;14;Tamarugal;290;286;33;25;1;1;10.5;36.8;52.6;20;30;50;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;1403;Colchane;14;Tamarugal;229;215;-31;-37;-1;-1;59.1;27.3;13.6;77.3;22.7;0;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;1404;Huara;14;Tamarugal;243;229;15;5;1;0;56;20;24;68.6;25.5;5.9;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;1405;Pica;14;Tamarugal;245;228;-7;-9;0;0;48.1;24;27.9;62.9;30.5;6.7;v12025;20260423;4b;2025
2;Región de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;272;257;-5;-7;0;-1;29.5;26.6;43.9;39.7;38.3;21.9;v12025;20260423;4b;2025
2;Región de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;258;240;-9;-10;-1;-1;36.9;28;35.2;55.7;29.9;14.3;v12025;20260423;4b;2025
2;Región de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;257;246;2;-5;0;0;40.6;34.4;25;53.1;34.4;12.5;v12025;20260423;4b;2025
2;Región de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;274;261;-11;-2;-1;0;27.8;25.8;46.4;41.6;28.6;29.9;v12025;20260423;4b;2025
2;Región de Antofagasta;22;El Loa;2201;Calama;22;El Loa;274;260;-7;-3;-1;0;27.2;28;44.7;36.1;41.1;22.8;v12025;20260423;4b;2025
