cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect4b_deprov;prom_mate4b_deprov;dif_lect4b_deprov;dif_mate4b_deprov;sigdif_lect4b_deprov;sigdif_mate4b_deprov;palu_eda_ins_lect4b_deprov;palu_eda_ele_lect4b_deprov;palu_eda_ade_lect4b_deprov;palu_eda_ins_mate4b_deprov;palu_eda_ele_mate4b_deprov;palu_eda_ade_mate4b_deprov;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;268;251;-2;-3;0;0;32.4;26.4;41.2;45;36.7;18.3;v12025;20260423;4b;2025
1;Región de Tarapacá;14;Tamarugal;252;242;0;-4;0;0;43.7;25.5;30.8;52.1;33.3;14.6;v12025;20260423;4b;2025
2;Región de Antofagasta;21;Antofagasta;271;256;-4;-6;0;-1;30;26.7;43.3;41;37.5;21.5;v12025;20260423;4b;2025
2;Región de Antofagasta;22;El Loa;273;259;-6;-2;-1;0;28.1;27.8;44.1;36.7;41;22.3;v12025;20260423;4b;2025
3;Región de Atacama;31;Copiapo - Chanaral;269;249;0;-3;0;0;32.3;25.6;42.1;46.8;35.6;17.6;v12025;20260423;4b;2025
3;Región de Atacama;32;Huasco - Vallenar;278;264;2;-2;0;0;23.6;29.3;47.1;35;39.3;25.6;v12025;20260423;4b;2025
4;Región de Coquimbo;41;Elqui;276;260;-2;-1;0;0;26.5;25.5;48;37;38.7;24.3;v12025;20260423;4b;2025
4;Región de Coquimbo;42;Limari;277;263;-1;-1;0;0;26.8;25.2;48;35.4;38.2;26.4;v12025;20260423;4b;2025
4;Región de Coquimbo;43;Choapa;267;249;0;-3;0;0;34.1;25.2;40.7;44.7;39.4;15.9;v12025;20260423;4b;2025
5;Región de Valparaíso;51;Quillota - Petorca;271;255;0;-2;0;0;29.2;25.9;44.8;40.2;39.6;20.2;v12025;20260423;4b;2025
5;Región de Valparaíso;52;San Felipe - Los Andes;271;254;-2;-3;0;0;29.2;27;43.8;41.8;38.5;19.7;v12025;20260423;4b;2025
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;270;256;-2;-4;0;0;31.1;26.7;42.2;40.1;38.3;21.5;v12025;20260423;4b;2025
5;Región de Valparaíso;54;San Antonio;268;250;-4;-6;0;0;31.5;26.8;41.7;44.6;38.4;17;v12025;20260423;4b;2025
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;277;262;-1;-2;0;0;27.7;24.5;47.8;35.9;38.3;25.8;v12025;20260423;4b;2025
6;Región del Libertador Bernardo O'higgins;62;Colchagua;275;261;-2;-6;0;-1;27.1;26.2;46.7;36.7;38.5;24.7;v12025;20260423;4b;2025
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;267;251;-2;-4;0;0;33.3;29.1;37.6;43.1;40.9;16;v12025;20260423;4b;2025
7;Región del Maule;71;Curico;278;266;-1;-4;0;0;25.2;26.1;48.7;31.3;40.9;27.8;v12025;20260423;4b;2025
7;Región del Maule;72;Talca;279;267;-2;-2;0;0;25.7;24.1;50.2;32.2;38.7;29.1;v12025;20260423;4b;2025
7;Región del Maule;73;Linares;279;265;1;-1;0;0;25;25.4;49.6;34.3;36.9;28.8;v12025;20260423;4b;2025
7;Región del Maule;74;Cauquenes;285;270;9;5;1;0;20.2;22.8;57;28.6;39.9;31.5;v12025;20260423;4b;2025
8;Región del Biobío;82;Bio Bio;278;263;3;-1;0;0;25.4;25.5;49.1;35;39.2;25.8;v12025;20260423;4b;2025
8;Región del Biobío;83;Concepcion;279;263;-2;-3;0;0;25;25.9;49.2;34.7;39.4;25.9;v12025;20260423;4b;2025
8;Región del Biobío;84;Arauco;280;266;2;-1;0;0;23.8;26.1;50.1;32.5;38.8;28.7;v12025;20260423;4b;2025
9;Región de La Araucanía;91;Malleco;275;259;1;0;0;0;27.9;25.9;46.3;37.9;39.1;23;v12025;20260423;4b;2025
9;Región de La Araucanía;92;Cautin Norte;276;260;-1;-2;0;0;26.2;26.3;47.6;37.4;38.3;24.3;v12025;20260423;4b;2025
9;Región de La Araucanía;93;Cautin Sur;270;253;-1;-2;0;0;31.1;25.3;43.6;42.1;38.5;19.4;v12025;20260423;4b;2025
10;Región de Los Lagos;101;Llanquihue;274;259;-2;-1;0;0;28;26.1;45.9;37;40.3;22.7;v12025;20260423;4b;2025
10;Región de Los Lagos;102;Chiloe;277;257;2;0;0;0;24.6;26.9;48.5;39.4;39.5;21;v12025;20260423;4b;2025
10;Región de Los Lagos;103;Osorno;277;260;-3;-5;0;0;25.9;25.7;48.5;38.2;37;24.8;v12025;20260423;4b;2025
10;Región de Los Lagos;104;Palena;273;258;18;13;1;1;33;18.7;48.4;39.6;41.8;18.7;v12025;20260423;4b;2025
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;276;257;-1;-3;0;0;27.5;24.1;48.3;38.8;39.8;21.5;v12025;20260423;4b;2025
12;Región de Magallanes y de la Antártica C;121;Magallanes;275;259;-2;-5;0;0;26.8;26.2;47;37.9;39.8;22.3;v12025;20260423;4b;2025
13;Región metropolitana de santiago;131;Centro;277;262;-4;-3;0;0;26;25.6;48.4;35.6;38.2;26.2;v12025;20260423;4b;2025
13;Región metropolitana de santiago;132;Sur;271;257;-3;-4;0;0;30.2;26.9;42.9;39.3;38.4;22.2;v12025;20260423;4b;2025
13;Región metropolitana de santiago;133;Oriente;296;285;-2;-2;0;0;15.9;21.6;62.5;19.7;35.1;45.2;v12025;20260423;4b;2025
13;Región metropolitana de santiago;134;Poniente;275;260;-1;-2;0;0;28.1;25.6;46.3;37.2;38.3;24.5;v12025;20260423;4b;2025
13;Región metropolitana de santiago;135;Talagante;274;259;-1;-2;0;0;28.3;26;45.6;37.6;38.4;23.9;v12025;20260423;4b;2025
13;Región metropolitana de santiago;136;Cordillera;276;262;-1;-2;0;0;27.4;25.7;46.9;35.5;39.4;25.2;v12025;20260423;4b;2025
13;Región metropolitana de santiago;137;Norte;278;264;-2;-3;0;0;26.2;24.8;49;34.5;37.3;28.2;v12025;20260423;4b;2025
14;Región de los ríos;141;Valdivia;274;257;0;-1;0;0;28.4;25.4;46.2;39.6;38;22.4;v12025;20260423;4b;2025
14;Región de los ríos;142;Ranco;274;260;-2;-1;0;0;28.4;26.8;44.8;37.5;37.8;24.7;v12025;20260423;4b;2025
15;Región de arica y parinacota;151;Arica;275;266;-11;-6;-1;0;26.9;25.9;47.1;31.9;39.6;28.4;v12025;20260423;4b;2025
15;Región de arica y parinacota;152;Parinacota;241;238;-12;-13;0;0;52.9;20.6;26.5;51.4;34.3;14.3;v12025;20260423;4b;2025
16;Región de Ñuble;161;Diguillín;280;268;1;0;0;0;24.3;26.4;49.4;30;41.3;28.7;v12025;20260423;4b;2025
