agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect6b_com|prom_mate6b_com|prom_soc6b_com|dif_lect6b_com|dif_mate6b_com|dif_soc6b_com|sigdif_lect6b_com|sigdif_mate6b_com|sigdif_soc6b_com
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11201|AISÉN|1|COYHAIQUE|243|243|239|5|-1|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5602|ALGARROBO|2|SAN ANTONIO|231|233|232|-6|-1|-7|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13502|ALHUÉ|7|TALAGANTE|236|236|236|18|9|10|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|3|BIOBÍO|8314|ALTO BIOBÍO|2|BIOBÍO|222|196|225|11|1|11|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|3|HUASCO|3302|ALTO DEL CARMEN|2|HUASCO|247|228|249|13|15|-4|Positiva y significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|1|IQUIQUE|234|239|233|-5|-1|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|1|CHILOÉ|252|256|257|8|10|10|Positiva y significativa|Positiva y significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|4|REGION DE COQUIMBO|1|ELQUI|4103|ANDACOLLO|2|ELQUI|250|247|255|-8|12|7|No significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|2|MALLECO|9201|ANGOL|3|MALLECO|255|258|249|5|6|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|1|ANTOFAGASTA|250|248|247|1|1|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|3|BIOBÍO|8302|ANTUCO|2|BIOBÍO|246|240|248|3|-5|10|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12202|ANTÁRTICA|1|MAGALLANES|||||||||
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|2|ARAUCO|8202|ARAUCO|1|ARAUCO|257|254|251|6|3|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|1|ARICA|249|253|248|2|1|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|6|SANTIAGO SUR|242|248|245|1|-1|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8402|BULNES|4|ÑUBLE|241|238|240|5|7|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|4|PETORCA|5402|CABILDO|1|QUILLOTA - PETORCA|241|240|240|4|-2|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12201|CABO DE HORNOS|1|MAGALLANES|267|263|265|13|2|3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|3|BIOBÍO|8303|CABRERO|2|BIOBÍO|243|246|233|11|-1|5|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|2|EL LOA|251|253|250|5|8|4|No significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10102|CALBUCO|2|LLANQUIHUE|244|238|242|4|1|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|1|COPIAPÓ|3102|CALDERA|1|COPIAPÓ - CHAÑARAL|221|226|230|-1|-6|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|5|QUILLOTA|5502|CALERA|1|QUILLOTA - PETORCA|244|250|243|-5|-4|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13403|CALERA DE TANGO|6|SANTIAGO SUR|240|250|240|-7|-2|-11|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|3|LOS ANDES|5302|CALLE LARGA|3|SAN FELIPE - LOS ANDES|234|232|235|-8|-5|-8|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15102|CAMARONES|1|ARICA|204|206||0|-4||No significativa|No significativa|
2016|20171024|final20171024v1|6b|1|REGION DE TARAPACA|4|TAMARUGAL|1402|CAMIÑA|2|TAMARUGAL|265|255|263|2|-19|0|No significativa|Negativa y significativa|No significativa
2016|20171024|final20171024v1|6b|4|REGION DE COQUIMBO|2|CHOAPA|4202|CANELA|1|CHOAPA|242|231|238|6|-4|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9102|CARAHUE|1|CAUTÍN NORTE|240|233|236|2|5|-7|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5603|CARTAGENA|2|SAN ANTONIO|243|241|238|-8|-17|-11|No significativa|Negativa y significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|1|VALPARAÍSO|5102|CASABLANCA|4|VALPARAÍSO|247|251|243|8|5|3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|2|CHILOÉ|10201|CASTRO|1|CHILOÉ|258|254|253|2|4|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|7|SAN FELIPE DE ACONCAGUA|5702|CATEMU|3|SAN FELIPE - LOS ANDES|233|239|231|6|-1|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|2|CAUQUENES|7201|CAUQUENES|1|CAUQUENES|245|245|242|-4|-10|-12|No significativa|Negativa y significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|2|ARAUCO|8203|CAÑETE|1|ARAUCO|243|237|238|-4|-3|-9|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13102|CERRILLOS|5|SANTIAGO PONIENTE|242|240|241|4|-1|-3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13103|CERRO NAVIA|5|SANTIAGO PONIENTE|235|235|236|3|-1|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|4|PALENA|10401|CHAITÉN|4|PALENA|238|232|241|6|2|-8|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|2|CAUQUENES|7202|CHANCO|1|CAUQUENES|243|238|250|10|-1|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|2|CHAÑARAL|3201|CHAÑARAL|1|COPIAPÓ - CHAÑARAL|238|224|232|9|9|11|No significativa|No significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8103|CHIGUAYANTE|3|CONCEPCIÓN|249|259|248|3|2|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|4|GENERAL CARRERA|11401|CHILE CHICO|1|COYHAIQUE|237|259|225|-6|10|-21|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8401|CHILLÁN|4|ÑUBLE|255|260|252|2|4|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8406|CHILLÁN VIEJO|4|ÑUBLE|242|238|240|-3|-8|-10|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|3|COLCHAGUA|6303|CHIMBARONGO|3|COLCHAGUA|248|244|245|2|-6|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9121|CHOLCHOL|1|CAUTÍN NORTE|230|217|218|-2|2|-21|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|2|CHILOÉ|10203|CHONCHI|1|CHILOÉ|260|247|249|10|1|2|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|3|COLCHAGUA|6302|CHÉPICA|3|COLCHAGUA|250|254|255|1|11|-5|No significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11202|CISNES|1|COYHAIQUE|235|234|227|8|7|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8403|COBQUECURA|4|ÑUBLE|240|223|241|4|-8|-16|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10103|COCHAMÓ|2|LLANQUIHUE|237|238|232|-14|-5|-4|Negativa y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|3|CAPITAN PRAT|11301|COCHRANE|1|COYHAIQUE|238|248|235|13|5|9|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6102|CODEGUA|1|CACHAPOAL|233|218|224|11|1|-8|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8404|COELEMU|4|ÑUBLE|246|255|242|-4|8|-10|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|1|COYHAIQUE|11101|COIHAIQUE|1|COYHAIQUE|244|243|240|5|-2|-5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8405|COIHUECO|4|ÑUBLE|248|239|240|10|2|4|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6103|COINCO|1|CACHAPOAL|254|251|256|10|9|10|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|4|LINARES|7402|COLBÚN|3|LINARES|235|231|231|3|0|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|1|REGION DE TARAPACA|4|TAMARUGAL|1403|COLCHANE|2|TAMARUGAL|247|215|260|54|27|48|Positiva y significativa|No significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|3|CHACABUCO|13301|COLINA|3|SANTIAGO NORTE|260|269|259|5|-2|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|2|MALLECO|9202|COLLIPULLI|3|MALLECO|241|232|241|4|4|4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6104|COLTAUCO|1|CACHAPOAL|246|253|252|-2|0|4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|4|REGION DE COQUIMBO|3|LIMARÍ|4302|COMBARBALÁ|3|LIMARÍ|243|235|231|-5|-1|-13|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8101|CONCEPCIÓN|3|CONCEPCIÓN|255|265|255|1|3|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13104|CONCHALÍ|3|SANTIAGO NORTE|237|243|236|3|-2|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|1|VALPARAÍSO|5103|CONCÓN|4|VALPARAÍSO|266|272|266|6|1|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|1|TALCA|7102|CONSTITUCIÓN|4|TALCA|251|268|251|-1|0|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|2|ARAUCO|8204|CONTULMO|1|ARAUCO|252|242|245|3|1|-5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|1|COPIAPÓ|3101|COPIAPÓ|1|COPIAPÓ - CHAÑARAL|241|240|238|1|3|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|4|REGION DE COQUIMBO|1|ELQUI|4102|COQUIMBO|2|ELQUI|246|246|244|4|5|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8102|CORONEL|3|CONCEPCIÓN|245|245|243|6|6|3|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|14|REGION DE LOS RIOS|1|VALDIVIA|14102|CORRAL|2|VALDIVIA|232|226|240|0|15|14|No significativa|Positiva y significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9103|CUNCO|1|CAUTÍN NORTE|242|236|234|-3|-7|-11|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|2|MALLECO|9203|CURACAUTÍN|3|MALLECO|231|225|228|12|8|10|Positiva y significativa|No significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13503|CURACAVÍ|7|TALAGANTE|240|240|238|0|-7|-9|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|2|CHILOÉ|10204|CURACO DE VÉLEZ|1|CHILOÉ|257|244|226|7|-7|7|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|2|ARAUCO|8205|CURANILAHUE|1|ARAUCO|243|249|243|2|6|3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9104|CURARREHUE|2|CAUTÍN SUR|257|238|251|1|-1|-6|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|1|TALCA|7103|CUREPTO|4|TALCA|260|253|257|10|-8|4|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|3|CURICÓ|7301|CURICÓ|2|CURICÓ|263|269|262|7|4|3|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|2|CHILOÉ|10205|DALCAHUE|1|CHILOÉ|252|256|255|12|13|5|Positiva y significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|2|CHAÑARAL|3202|DIEGO DE ALMAGRO|1|COPIAPÓ - CHAÑARAL|230|233|237|-14|-9|-7|Negativa y significativa|Negativa y significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6105|DOÑIHUE|1|CACHAPOAL|248|251|242|2|-6|-9|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13105|EL BOSQUE|6|SANTIAGO SUR|238|244|240|0|-3|-3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|4|ÑUBLE|8407|EL CARMEN|4|ÑUBLE|244|239|237|3|-1|-6|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|6|TALAGANTE|13602|EL MONTE|7|TALAGANTE|241|233|240|1|-5|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5604|EL QUISCO|2|SAN ANTONIO|244|237|239|4|11|-8|No significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|6|SAN ANTONIO|5605|EL TABO|2|SAN ANTONIO|231|232|232|-3|-9|-7|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|1|TALCA|7104|EMPEDRADO|4|TALCA|227|247|228|-6|-6|-16|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|2|MALLECO|9204|ERCILLA|3|MALLECO|239|215|232|-3|-8|-8|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13106|ESTACIÓN CENTRAL|5|SANTIAGO PONIENTE|244|249|247|-1|0|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8104|FLORIDA|3|CONCEPCIÓN|235|232|239|1|-4|9|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9105|FREIRE|2|CAUTÍN SUR|247|230|240|12|4|7|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|3|HUASCO|3303|FREIRINA|2|HUASCO|241|228|231|-5|-30|0|No significativa|Negativa y significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10104|FRESIA|2|LLANQUIHUE|231|228|230|6|4|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|1|LLANQUIHUE|10105|FRUTILLAR|2|LLANQUIHUE|239|236|236|-9|0|-12|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|4|PALENA|10402|FUTALEUFÚ|4|PALENA|233|234|233|-8|-8|2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|14|REGION DE LOS RIOS|2|RANCO|14202|FUTRONO|1|RANCO|250|242|242|-1|1|-8|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9106|GALVARINO|1|CAUTÍN NORTE|237|218|225|11|-1|-8|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|15|REGION DE ARICA Y PARINACOTA|2|PARINACOTA|15202|GENERAL LAGOS|2|PARINACOTA|190|205|218|0|0|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|9|REGION DE LA ARAUCANIA|1|CAUTÍN|9107|GORBEA|2|CAUTÍN SUR|229|226|229|0|4|2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|1|CACHAPOAL|6106|GRANEROS|1|CACHAPOAL|234|230|232|7|0|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11203|GUAITECAS|1|COYHAIQUE|246|227|242|-12|-29|11|No significativa|Negativa y significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|5|QUILLOTA|5503|HIJUELAS|1|QUILLOTA - PETORCA|237|234|237|2|2|-2|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|10|REGION DE LOS LAGOS|4|PALENA|10403|HUALAIHUÉ|2|LLANQUIHUE|242|231|240|2|1|5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|7|REGION DEL MAULE|3|CURICÓ|7302|HUALAÑÉ|2|CURICÓ|253|268|254|0|0|-6|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8112|HUALPÉN|3|CONCEPCIÓN|247|251|248|4|0|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|8|REGION DEL BIOBIO|1|CONCEPCIÓN|8105|HUALQUI|3|CONCEPCIÓN|245|239|246|5|-2|3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|1|REGION DE TARAPACA|4|TAMARUGAL|1404|HUARA|2|TAMARUGAL|229|229|223|24|15|32|Positiva y significativa|Positiva y significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|3|REGION DE ATACAMA|3|HUASCO|3304|HUASCO|2|HUASCO|234|228|237|2|-1|-5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13107|HUECHURABA|3|SANTIAGO NORTE|250|261|254|3|2|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|4|REGION DE COQUIMBO|2|CHOAPA|4201|ILLAPEL|1|CHOAPA|240|233|241|2|-2|3|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13108|INDEPENDENCIA|3|SANTIAGO NORTE|246|249|249|-8|-5|-7|Negativa y significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|6b|1|REGION DE TARAPACA|1|IQUIQUE|1101|IQUIQUE|1|IQUIQUE|251|252|249|3|3|-1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|6|TALAGANTE|13603|ISLA DE MAIPO|7|TALAGANTE|237|236|235|6|-2|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|2|ISLA DE PASCUA|5201|ISLA DE PASCUA|4|VALPARAÍSO|240|228|231|14|2|-1|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|1|VALPARAÍSO|5104|JUAN FERNÁNDEZ|4|VALPARAÍSO|218|232|236|0|0|0|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13109|LA CISTERNA|6|SANTIAGO SUR|250|253|252|7|-2|1|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|5|REGION DE VALPARAISO|5|QUILLOTA|5504|LA CRUZ|1|QUILLOTA - PETORCA|238|238|242|24|5|30|Positiva y significativa|No significativa|Positiva y significativa
2016|20171024|final20171024v1|6b|6|REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS|2|CARDENAL CARO|6202|LA ESTRELLA|2|CARDENAL CARO|242|249|237|20|25|-1|Positiva y significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13110|LA FLORIDA|1|CORDILLERA|249|258|251|2|0|1|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|6b|13|REGION METROPOLITANA DE SANTIAGO|1|SANTIAGO|13111|LA GRANJA|6|SANTIAGO SUR|240|243|237|8|0|1|Positiva y significativa|No significativa|No significativa
