agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect6b_deprov|prom_mate6b_deprov|prom_soc6b_deprov|dif_lect6b_deprov|dif_mate6b_deprov|dif_soc6b_deprov|sigdif_lect6b_deprov|sigdif_mate6b_deprov|sigdif_soc6b_deprov
2016|final20171024v1|20171024|6b|1|REGIÓN DE TARAPACÁ|11|IQUIQUE|244|247|242|0|1|-3|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|1|REGIÓN DE TARAPACÁ|14|TAMARUGAL|227|223|225|8|4|7|Positiva y significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|2|REGIÓN DE ANTOFAGASTA|21|ANTOFAGASTA|248|245|245|1|1|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|2|REGIÓN DE ANTOFAGASTA|22|EL LOA|250|252|248|4|8|3|No significativa|Positiva y significativa|No significativa
2016|final20171024v1|20171024|6b|3|REGIÓN DE ATACAMA|31|COPIAPÓ - CHAÑARAL|237|236|235|0|2|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|3|REGIÓN DE ATACAMA|32|HUASCO|246|241|243|5|5|2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|4|REGIÓN DE COQUIMBO|41|ELQUI|250|252|248|2|1|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|4|REGIÓN DE COQUIMBO|42|LIMARÍ|251|245|248|1|4|0|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|4|REGIÓN DE COQUIMBO|43|CHOAPA|239|234|237|0|-3|-3|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|5|REGIÓN DE VALPARAÍSO|51|QUILLOTA - PETORCA|244|246|243|1|-3|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|5|REGIÓN DE VALPARAÍSO|52|SAN FELIPE - LOS ANDES|246|242|245|3|0|-2|No significativa|No significativa|No significativa
