agno|fecha_bbdd|codigo_bbdd|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_soc6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_soc6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_soc6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_soc6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_soc6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_soc6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_soc6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_soc6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica
2016|20171024|final20171024v1|6b|5|1|JOVINA NARANJO FERNANDEZ|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|27|28|27|266|259|268|-14|-25|-15|16|6|19|No significativa|Negativa y significativa|No significativa|Positiva y significativa|No significativa|Positiva y significativa|||||||14.8|40.700001|44.400002|21.4|46.400002|32.099998|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|20|22|20|248|233|244|37|23|40|13|-1|11|Positiva y significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|No significativa|Positiva y significativa|||||||40|30|30|40.900002|45.5|13.6|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|9|4|ESCUELA REPUBLICA DE ISRAEL|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|145|144|145|262|247|250|12|7|1|12|-6|1|Positiva y significativa|No significativa|No significativa|Positiva y significativa|Negativa y significativa|No significativa|||||||28.299999|35.200001|36.599998|31.299999|51.400002|17.4|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|10|8|ESCUELA REPUBLICA DE FRANCIA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|4|5|4|202|204|201|||||||No significativa|No significativa|No significativa|No significativa|No significativa|No significativa||||Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|Alumnos insuficientes para comparación|||||||Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|11|6|ESC. GRAL. PEDRO LAGOS MARCHANT|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|24|22|24|237|214|212||-11||2|-20|-21|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa||||Con marca medición anterior: No reporte||Con marca medición anterior: No reporte|54.200001|29.200001|16.700001|54.5|40.900002|4.5|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|12|4|ESCUELA GRAL JOSE MIGUEL CARRERA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|29|29|29|258|245|243|-3|-2|-9|23|11|10|No significativa|No significativa|No significativa|Positiva y significativa|Positiva y significativa|Positiva y significativa|||||||31|31|37.900002|31|48.299999|20.700001|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|13|2|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|22|24|22|233|218|235|0|-31|36|-2|-16|2|No significativa|Negativa y significativa|Positiva y significativa|No significativa|Negativa y significativa|No significativa|||||||59.099998|13.6|27.299999|62.5|33.299999|4.1999998|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|14|0|ESCUELA ROMULO J. PENA MATURANA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|16|16|16|230|234|205|13|5|-15|-5|0|-28|No significativa|No significativa|No significativa|No significativa|No significativa|Negativa y significativa|||||||50|37.5|12.5|37.5|62.5|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio bajo|Urbano|18|17|18|234|209|233|21|5|14|-1|-25|0|Positiva y significativa|No significativa|No significativa|No significativa|Negativa y significativa|No significativa|||||||55.599998|27.799999|16.700001|64.699997|35.299999|0|Rbd y curso rinde Simce
2016|20171024|final20171024v1|6b|16|7|ESCUELA REGIMIENTO RANCAGUA|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|ARICA|Municipal DAEM|Municipal|Medio|Urbano|35|34|35|224|210|212|17|12|7|-26|-43|-37|Positiva y significativa|No significativa|No significativa|Negativa y significativa|Negativa y significativa|Negativa y significativa|||||||51.400002|40|8.6000004|76.5|23.5|0|Rbd y curso rinde Simce
