agno|codigo_bbdd|fecha_bbdd|grado|cod_reg|nom_reg|prom_lect6b_reg|prom_mate6b_reg|prom_soc6b_reg|dif_lect6b_reg|dif_mate6b_reg|dif_soc6b_reg|sigdif_lect6b_reg|sigdif_mate6b_reg|sigdif_soc6b_reg
2016|final20171024v1|20171024|6b|1|REGIÓN DE TARAPACÁ|243|245|241|1|1|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|2|REGIÓN DE ANTOFAGASTA|248|247|246|2|3|0|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|3|REGIÓN DE ATACAMA|239|237|237|1|3|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|4|REGIÓN DE COQUIMBO|249|248|247|2|1|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|5|REGIÓN DE VALPARAÍSO|246|249|246|0|-3|-3|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|6|REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS|248|249|248|2|0|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|7|REGIÓN DEL MAULE|252|255|251|4|2|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|8|REGIÓN DEL BIOBÍO|249|251|247|3|1|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|9|REGIÓN DE LA ARAUCANÍA|249|244|247|3|1|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|10|REGIÓN DE LOS LAGOS|249|248|247|2|0|-1|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|11|REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|243|243|238|5|-1|-4|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|12|REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|249|249|247|1|1|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|13|REGIÓN METROPOLITANA|250|257|251|2|-1|-2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|14|REGIÓN DE LOS RÍOS|250|246|249|4|3|2|No significativa|No significativa|No significativa
2016|final20171024v1|20171024|6b|15|REGIÓN ARICA - PARINACOTA|249|253|247|2|2|1|No significativa|No significativa|No significativa
