agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect6b_com|prom_mate6b_com|prom_nat6b_com|dif_lect6b_com|dif_mate6b_com|dif_nat6b_com|sigdif_lect6b_com|sigdif_mate6b_com|sigdif_nat6b_com|fecha_bbdd|codigo_bbdd
2018|6b|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|255|255|254|4|3|3|0|0|0|20190628|final20190628v1
2018|6b|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|242|241|242|9|3|-1|1|0|0|20190628|final20190628v1
2018|6b|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|239|235|231|16|12|8|1|1|0|20190628|final20190628v1
2018|6b|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|245|247||-17|-6||-1|0||20190628|final20190628v1
2018|6b|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|205|205||-42|-10||-1|0||20190628|final20190628v1
2018|6b|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|235|222|217|9|-4|-15|0|0|0|20190628|final20190628v1
2018|6b|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|248|241|241|24|29|19|1|1|1|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|248|247|248|-2|-2|2|0|0|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|225|229|225|-12|2|4|-1|0|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|243|228|235|-37|-29|19|-1|-1|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|251|241|239|9|1|6|1|0|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|23|Tocopilla|2301|Tocopilla|21|Antofagasta|232|226|227|-1|2|-7|0|0|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|23|Tocopilla|2302|María Elena|21|Antofagasta|230|238|247|3|24|4|0|1|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|251|249|250|0|-4|5|0|0|0|20190628|final20190628v1
2018|6b|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa|288|242||0|0||0|0||20190628|final20190628v1
2018|6b|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|247|242|246|23|17|14|1|1|1|20190628|final20190628v1
2018|6b|3|Región de Atacama|31|Copiapó|3101|Copiapó|31|Copiapo - Chanaral|246|243|246|5|3|1|0|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|31|Copiapó|3102|Caldera|31|Copiapo - Chanaral|236|238|236|15|12|1|1|1|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|31|Copiapó|3103|Tierra Amarilla|31|Copiapo - Chanaral|219|212|212|2|0|4|0|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|32|Chañaral|3201|Chañaral|31|Copiapo - Chanaral|241|228|230|3|4|-2|0|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|32|Chañaral|3202|Diego de Almagro|31|Copiapo - Chanaral|250|253|245|20|20|-1|1|1|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|33|Huasco|3301|Vallenar|32|Huasco - Vallenar|247|246|243|-2|-1|4|0|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|33|Huasco|3302|Alto del Carmen|32|Huasco - Vallenar|237|225|252|-5|-3|8|0|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|33|Huasco|3303|Freirina|32|Huasco - Vallenar|229|224|222|-12|-4|-11|-1|0|0|20190628|final20190628v1
2018|6b|3|Región de Atacama|33|Huasco|3304|Huasco|32|Huasco - Vallenar|238|229|234|4|1|5|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4101|La Serena|41|Elqui|254|257|259|1|-2|4|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4102|Coquimbo|41|Elqui|247|246|247|0|-1|3|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4103|Andacollo|41|Elqui|243|243|248|-8|-3|-9|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4104|La Higuera|41|Elqui|231|221|211|-5|-5|-3|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4105|Paihuano|41|Elqui|229|228|220|-3|10|-16|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|41|Elqui|4106|Vicuña|41|Elqui|244|236|240|-4|-2|3|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|42|Choapa|4202|Canela|43|Choapa|252|246|250|8|12|7|0|1|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|42|Choapa|4203|Los Vilos|43|Choapa|238|237|233|11|2|-1|1|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|42|Choapa|4204|Salamanca|43|Choapa|245|238|245|2|1|3|0|0|0|20190628|final20190628v1
2018|6b|4|Región de Coquimbo|43|Limarí|4301|Ovalle|42|Limari|254|250|257|1|1|7|0|0|1|20190628|final20190628v1
