agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect6b_rbd|nalu_mate6b_rbd|nalu_nat6b_rbd|prom_lect6b_rbd|prom_mate6b_rbd|prom_nat6b_rbd|dif_lect6b_rbd|dif_mate6b_rbd|dif_nat6b_rbd|difgru_lect6b_rbd|difgru_mate6b_rbd|difgru_nat6b_rbd|sigdif_lect6b_rbd|sigdif_mate6b_rbd|sigdif_nat6b_rbd|siggru_lect6b_rbd|siggru_mate6b_rbd|siggru_nat6b_rbd|marca_lect6b_rbd|marca_mate6b_rbd|marca_nat6b_rbd|marcadif_lect6b_rbd|marcadif_mate6b_rbd|marcadif_nat6b_rbd|palu_eda_ins_lect6b_rbd|palu_eda_ele_lect6b_rbd|palu_eda_ade_lect6b_rbd|palu_eda_ins_mate6b_rbd|palu_eda_ele_mate6b_rbd|palu_eda_ade_mate6b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2018|6b|5|1|JOVINA NARANJO FERNANDEZ|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|3|1|30|30|30|254|251|239|-12|-8|-25|2|-2|-15|0|0|-1|0|0|-1|||||||33.3|36.7|30|43.3|30|26.7|0|20190628|final20190628v1
2018|6b|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|28|27|28|242|239|217|-6|6|13|4|3|-20|0|0|0|0|0|-1|||||||50|25|25|40.7|44.4|14.8|0|20190628|final20190628v1
2018|6b|9|4|ESCUELA REPUBLICA DE ISRAEL|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|3|1|128|130|127|265|258|270|3|11|11|13|5|16|0|1|0|1|1|1|||||||25.8|27.3|46.9|24.6|52.3|23.1|0|20190628|final20190628v1
2018|6b|10|8|ESCUELA REPUBLICA DE FRANCIA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|8|8|8|194|204|202|0|0|-14|-44|-32|-35|0|0|0|-1|-1|-1||||1|1||||||||0|20190628|final20190628v1
2018|6b|11|6|ESC. GRAL. PEDRO LAGOS MARCHANT|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|35|34|35|235|225|220|-2|11|-46|-3|-11|-17|0|0|-1|0|-1|-1|||||||51.4|25.7|22.9|64.7|23.5|11.8|0|20190628|final20190628v1
2018|6b|12|4|ESCUELA GRAL JOSE MIGUEL CARRERA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|3|1|27|27|27|270|254|267|12|9|16|18|1|13|0|0|0|1|0|1|||||||25.9|33.3|40.7|22.2|55.6|22.2|0|20190628|final20190628v1
2018|6b|13|2|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|19|22|20|249|227|253|16|9|43|11|-9|16|0|0|1|1|0|1|||||||42.1|31.6|26.3|50|36.4|13.6|0|20190628|final20190628v1
2018|6b|14|0|ESCUELA ROMULO J. PENA MATURANA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|23|23|23|239|218|226|9|-16|12|1|-18|-11|0|0|0|0|-1|0|||||||52.2|26.1|21.7|69.6|21.7|8.7|0|20190628|final20190628v1
2018|6b|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|3|1|31|30|31|230|220|230|-4|11|12|-22|-33|-24|0|0|0|-1|-1|-1|||||||51.6|29|19.4|53.3|43.3|3.3|0|20190628|final20190628v1
2018|6b|16|7|ESCUELA REGIMIENTO RANCAGUA|15|Región de Arica y Parinacota|151|ARICA|15101|Arica|151|ARICA|2|1|2|1|18|18|18|230|214|241|6|4|13|-8|-22|4|0|0|0|-1|-1|0|||||||61.1|27.8|11.1|55.6|44.4|0|0|20190628|final20190628v1
