cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect8b_com;prom_mate8b_com;prom_hist8b_com;dif_lect8b_com;dif_mate8b_com;dif_hist8b_com;sigdif_lect8b_com;sigdif_mate8b_com;sigdif_hist8b_com;palu_eda_ins_lect8b_com;palu_eda_ele_lect8b_com;palu_eda_ade_lect8b_com;palu_eda_ins_mate8b_com;palu_eda_ele_mate8b_com;palu_eda_ade_mate8b_com;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;1101;Iquique;11;Iquique;235;254;245;-7;-5;-1;-1;0;0;43.9;40;16;46.5;37.2;16.3;v12025;20260423;8b;2025
1;Región de Tarapacá;11;Iquique;1107;Alto Hospicio;11;Iquique;221;245;233;-13;-6;-8;-1;0;-1;56.4;32.9;10.7;53.4;35.6;11;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;229;244;237;1;-6;4;0;0;0;51.4;35.2;13.4;53;37.2;9.9;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;1402;Camiña;14;Tamarugal;210;232;236;-11;13;12;0;0;0;64.3;35.7;0;64.3;32.1;3.6;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;1403;Colchane;14;Tamarugal;207;235;222;-28;-12;-13;-1;0;0;73.3;13.3;13.3;60;40;0;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;1404;Huara;14;Tamarugal;218;223;234;12;6;3;0;0;0;61.8;29.4;8.8;75;19.4;5.6;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;1405;Pica;14;Tamarugal;206;229;222;-16;-12;-7;-1;-1;0;69;26.7;4.3;67.6;31.5;0.9;v12025;20260423;8b;2025
2;Región de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;236;254;245;-7;-5;-3;-1;0;0;43.9;38.4;17.6;44.6;39.4;16;v12025;20260423;8b;2025
2;Región de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;211;234;229;-2;-9;1;0;0;0;65.6;28.1;6.3;64.3;31;4.7;v12025;20260423;8b;2025
2;Región de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;226;238;238;-17;-13;-6;-1;0;0;51.4;31.4;17.1;55.9;41.2;2.9;v12025;20260423;8b;2025
2;Región de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;226;240;231;13;11;11;1;1;1;50.6;37.8;11.5;57.8;36;6.2;v12025;20260423;8b;2025
2;Región de Antofagasta;22;El Loa;2201;Calama;22;El Loa;238;253;252;-5;-7;4;0;-1;0;41.8;41.7;16.5;44.4;42.1;13.5;v12025;20260423;8b;2025
2;Región de Antofagasta;22;El Loa;2202;Ollagüe;22;El Loa;235;246;241;;;;;;;;;;;;;v12025;20260423;8b;2025
2;Región de Antofagasta;22;El Loa;2203;San Pedro de Atacama;22;El Loa;209;236;238;-5;-24;12;0;-1;1;66.9;26.4;6.6;61.5;34.4;4.1;v12025;20260423;8b;2025
2;Región de Antofagasta;23;Tocopilla;2301;Tocopilla;21;Antofagasta;220;237;229;-12;-5;-7;-1;0;0;56.4;33.6;10;61.2;31.1;7.7;v12025;20260423;8b;2025
2;Región de Antofagasta;23;Tocopilla;2302;María Elena;21;Antofagasta;238;253;251;19;5;29;1;0;1;45.5;32.5;22.1;44;42.7;13.3;v12025;20260423;8b;2025
3;Región de Atacama;31;Copiapó;3101;Copiapó;31;Copiapo - Chanaral;230;245;240;-3;-5;-4;0;0;0;49.7;34.7;15.6;52.4;36.1;11.5;v12025;20260423;8b;2025
3;Región de Atacama;31;Copiapó;3102;Caldera;31;Copiapo - Chanaral;217;233;227;-17;-13;-9;-1;-1;0;59.1;33.8;7.1;63;31;6;v12025;20260423;8b;2025
3;Región de Atacama;31;Copiapó;3103;Tierra Amarilla;31;Copiapo - Chanaral;210;226;230;-9;8;3;0;0;0;63.3;31.3;5.5;72.2;24.1;3.8;v12025;20260423;8b;2025
3;Región de Atacama;32;Chañaral;3201;Chañaral;31;Copiapo - Chanaral;221;238;236;-5;3;4;0;0;0;57.5;30.6;11.8;58.3;32.8;8.9;v12025;20260423;8b;2025
3;Región de Atacama;32;Chañaral;3202;Diego de Almagro;31;Copiapo - Chanaral;224;234;234;-7;-10;-11;0;-1;-1;54.7;37.6;7.7;64.1;31.5;4.3;v12025;20260423;8b;2025
3;Región de Atacama;33;Huasco;3301;Vallenar;32;Huasco - Vallenar;240;257;247;-1;0;0;0;0;0;40.9;40.8;18.3;42.5;41.7;15.8;v12025;20260423;8b;2025
3;Región de Atacama;33;Huasco;3302;Alto del Carmen;32;Huasco - Vallenar;209;227;224;-22;-3;-10;-1;0;0;64.9;29.8;5.3;68.3;28.3;3.3;v12025;20260423;8b;2025
3;Región de Atacama;33;Huasco;3303;Freirina;32;Huasco - Vallenar;221;239;230;-4;16;2;0;1;0;56.6;37.3;6;53.1;43.2;3.7;v12025;20260423;8b;2025
3;Región de Atacama;33;Huasco;3304;Huasco;32;Huasco - Vallenar;218;229;224;-12;-5;-12;-1;0;-1;56.4;36.2;7.4;64;32.7;3.3;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4101;La Serena;41;Elqui;243;261;256;-3;-7;-2;0;-1;0;38.4;40;21.5;39.4;40.6;20.1;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4102;Coquimbo;41;Elqui;231;250;246;-10;-9;-4;-1;-1;0;47.8;37.2;15;48.3;38.3;13.4;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4103;Andacollo;41;Elqui;250;259;265;13;8;16;1;0;1;32;52.3;15.6;36.2;50.4;13.4;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4104;La Higuera;41;Elqui;210;226;217;-26;-12;-19;-1;0;-1;62.1;27.6;10.3;74.6;22;3.4;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4105;Paihuano;41;Elqui;216;221;227;-16;-20;-15;-1;-1;-1;63.5;26.9;9.6;73.6;26.4;0;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;4106;Vicuña;41;Elqui;229;242;247;-4;-7;6;0;0;0;48.8;35.8;15.4;55.2;36.5;8.3;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Limarí;4303;Monte Patria;42;Limari;228;245;244;-3;-8;5;0;-1;0;51.4;35.8;12.7;50.2;39.8;10;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Limarí;4304;Punitaqui;42;Limari;231;251;249;0;-2;7;0;0;0;45.3;34.5;20.3;51;33.8;15.2;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Limarí;4305;Río Hurtado;42;Limari;226;235;239;-12;-6;-4;0;0;0;52.1;39.6;8.3;66.7;25;8.3;v12025;20260423;8b;2025
4;Región de Coquimbo;42;Choapa;4201;Illapel;43;Choapa;225;239;237;-10;-9;-5;-1;-1;0;53.3;33.6;13.1;60.8;31.3;7.9;v12025;20260423;8b;2025
4;Región de Coquimbo;42;Choapa;4202;Canela;43;Choapa;237;253;247;0;8;10;0;0;0;41.5;39;19.5;46.5;40.7;12.8;v12025;20260423;8b;2025
4;Región de Coquimbo;42;Choapa;4203;Los Vilos;43;Choapa;228;242;241;2;-5;8;0;0;0;52;33.2;14.8;56.7;34;9.3;v12025;20260423;8b;2025
4;Región de Coquimbo;42;Choapa;4204;Salamanca;43;Choapa;227;238;235;-5;-6;-6;0;0;0;50.4;38.7;10.9;62.3;29.5;8.1;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Limarí;4301;Ovalle;42;Limari;238;255;248;-6;-4;-6;0;0;0;43.1;38.1;18.8;43.3;41;15.7;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Limarí;4302;Combarbalá;42;Limari;240;250;247;2;10;3;0;1;0;38.4;41.3;20.3;44.3;45;10.7;v12025;20260423;8b;2025
5;Región de Valparaíso;51;Valparaíso;5101;Valparaíso;53;Valparaiso - Isla;229;251;243;-4;-6;-2;0;-1;0;50.1;34.6;15.3;47.7;38.3;13.9;v12025;20260423;8b;2025
5;Región de Valparaíso;51;Valparaíso;5102;Casablanca;53;Valparaiso - Isla;228;250;246;-7;-8;2;0;0;0;49.6;38.4;12;46.5;42.2;11.3;v12025;20260423;8b;2025
