cod_reg;nom_reg;cod_deprov;nom_deprov;prom_lect8b_deprov;prom_mate8b_deprov;prom_hist8b_deprov;dif_lect8b_deprov;dif_mate8b_deprov;dif_hist8b_deprov;sigdif_lect8b_deprov;sigdif_mate8b_deprov;sigdif_hist8b_deprov;palu_eda_ins_lect8b_deprov;palu_eda_ele_lect8b_deprov;palu_eda_ade_lect8b_deprov;palu_eda_ins_mate8b_deprov;palu_eda_ele_mate8b_deprov;palu_eda_ade_mate8b_deprov;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;230;250;240;-9;-6;-4;-1;0;0;49.1;37.1;13.9;49.3;36.6;14.1;v12025;20260423;8b;2025
1;Región de Tarapacá;14;Tamarugal;220;237;233;-4;-6;2;0;0;0;58.3;31.8;9.9;59.4;34.1;6.5;v12025;20260423;8b;2025
2;Región de Antofagasta;21;Antofagasta;233;251;243;-8;-5;-3;-1;0;0;45.9;37.5;16.6;46.9;38.5;14.6;v12025;20260423;8b;2025
2;Región de Antofagasta;22;El Loa;237;252;251;-4;-8;4;0;-1;0;43;41;16;45.2;41.8;13;v12025;20260423;8b;2025
3;Región de Atacama;31;Copiapo - Chanaral;227;242;238;-5;-5;-4;0;0;0;51.8;34.4;13.8;55.2;34.7;10.1;v12025;20260423;8b;2025
3;Región de Atacama;32;Huasco - Vallenar;234;250;241;-3;1;-2;0;0;0;45.4;39.4;15.2;47.6;39.9;12.6;v12025;20260423;8b;2025
4;Región de Coquimbo;41;Elqui;237;255;251;-6;-8;-3;-1;-1;0;42.9;38.7;18.3;44.2;39.4;16.4;v12025;20260423;8b;2025
4;Región de Coquimbo;42;Limari;236;253;247;-5;-3;-3;0;0;0;44.6;37.7;17.7;45.5;40.2;14.3;v12025;20260423;8b;2025
4;Región de Coquimbo;43;Choapa;227;240;238;-5;-6;-1;0;0;0;51.2;35.6;13.2;59.3;32.1;8.7;v12025;20260423;8b;2025
5;Región de Valparaíso;51;Quillota - Petorca;233;251;244;-5;-6;0;0;-1;0;46.2;37.8;16;46.4;40.3;13.3;v12025;20260423;8b;2025
5;Región de Valparaíso;52;San Felipe - Los Andes;233;253;247;-5;-2;0;0;0;0;45.9;37.8;16.3;46;39.2;14.8;v12025;20260423;8b;2025
5;Región de Valparaíso;53;Valparaiso - Isla de Pascua;234;256;248;-5;-7;-2;0;-1;0;44.8;37.8;17.5;42.9;40.3;16.8;v12025;20260423;8b;2025
5;Región de Valparaíso;54;San Antonio;229;245;240;-6;-6;-1;0;0;0;49;36.8;14.2;52.2;36.9;10.9;v12025;20260423;8b;2025
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;237;256;249;-2;-4;-2;0;0;0;43.5;38.3;18.2;43.9;38.9;17.2;v12025;20260423;8b;2025
6;Región del Libertador Bernardo O'higgins;62;Colchagua;237;256;248;-6;-5;-3;-1;0;0;43.2;38.6;18.2;43.9;38.6;17.5;v12025;20260423;8b;2025
6;Región del Libertador Bernardo O'higgins;63;Cardenal Caro;230;246;239;1;-3;0;0;0;0;47.8;37.8;14.5;50.5;38.8;10.7;v12025;20260423;8b;2025
7;Región del Maule;71;Curico;243;265;254;-4;0;-2;0;0;0;37.7;41.5;20.8;36.4;41.2;22.4;v12025;20260423;8b;2025
7;Región del Maule;72;Talca;241;262;254;0;-4;2;0;0;0;39.2;39.9;20.9;38.5;40.9;20.7;v12025;20260423;8b;2025
7;Región del Maule;73;Linares;237;257;249;-6;-5;-3;-1;0;0;42.5;39.1;18.4;42;39.7;18.3;v12025;20260423;8b;2025
7;Región del Maule;74;Cauquenes;232;252;244;-6;-1;-4;0;0;0;46.9;38.4;14.7;45.1;41.7;13.2;v12025;20260423;8b;2025
8;Región del Biobío;82;Bio Bio;235;253;246;-5;-6;-1;0;0;0;43.8;39.6;16.7;45.2;40.6;14.2;v12025;20260423;8b;2025
8;Región del Biobío;83;Concepcion;240;261;250;-4;-5;-2;0;0;0;40.2;40.2;19.6;38.4;42;19.7;v12025;20260423;8b;2025
8;Región del Biobío;84;Arauco;236;253;244;-3;-2;-1;0;0;0;44.6;37.5;17.9;45.4;39.3;15.2;v12025;20260423;8b;2025
9;Región de La Araucanía;91;Malleco;228;244;239;-5;-1;-2;0;0;0;50.6;36.1;13.3;54;35.2;10.8;v12025;20260423;8b;2025
9;Región de La Araucanía;92;Cautin Norte;236;254;247;-3;-3;-3;0;0;0;43.4;39.5;17.1;45.4;38.4;16.2;v12025;20260423;8b;2025
9;Región de La Araucanía;93;Cautin Sur;235;251;244;-6;-4;-5;-1;0;0;44.8;38.6;16.6;47.4;39.1;13.6;v12025;20260423;8b;2025
10;Región de Los Lagos;101;Llanquihue;237;255;248;-5;-6;-3;0;0;0;43.1;38.5;18.4;44.1;38.2;17.7;v12025;20260423;8b;2025
10;Región de Los Lagos;102;Chiloe;232;250;243;-9;-5;-3;-1;0;0;47.1;38.4;14.5;47.1;40.2;12.7;v12025;20260423;8b;2025
10;Región de Los Lagos;103;Osorno;237;257;248;-8;-6;-4;-1;-1;0;42.1;40.2;17.6;41.8;41.3;16.9;v12025;20260423;8b;2025
10;Región de Los Lagos;104;Palena;225;241;232;-10;-4;-7;0;0;0;52.3;35.1;12.6;55.6;34.3;10.2;v12025;20260423;8b;2025
11;Región de Aysén del General Carlos Ibañe;111;Coyhaique;229;252;245;-8;-5;-4;-1;0;0;47.8;36.9;15.3;44.7;40.1;15.2;v12025;20260423;8b;2025
12;Región de Magallanes y de la Antártica C;121;Magallanes;236;255;247;-6;-3;-2;-1;0;0;44.7;36;19.3;43.8;39.9;16.4;v12025;20260423;8b;2025
13;Región metropolitana de santiago;131;Centro;242;261;254;-1;-5;0;0;0;0;39.6;39.9;20.5;39.7;39.9;20.3;v12025;20260423;8b;2025
13;Región metropolitana de santiago;132;Sur;233;254;246;-1;-4;2;0;0;0;45.8;38.1;16.1;45.7;37.9;16.5;v12025;20260423;8b;2025
13;Región metropolitana de santiago;133;Oriente;262;291;276;2;-2;3;0;0;0;24.4;40;35.5;19.8;36.3;44;v12025;20260423;8b;2025
13;Región metropolitana de santiago;134;Poniente;237;258;250;-1;-5;2;0;0;0;42.6;39.7;17.8;41.5;39.9;18.5;v12025;20260423;8b;2025
13;Región metropolitana de santiago;135;Talagante;237;255;250;0;-2;4;0;0;0;43.3;38.2;18.5;44.3;38.8;16.9;v12025;20260423;8b;2025
13;Región metropolitana de santiago;136;Cordillera;238;261;250;-2;-5;1;0;0;0;41.9;39.5;18.6;39.7;40;20.3;v12025;20260423;8b;2025
13;Región metropolitana de santiago;137;Norte;240;263;252;-1;-4;2;0;0;0;40;39.7;20.3;38.7;39;22.3;v12025;20260423;8b;2025
14;Región de los ríos;141;Valdivia;236;251;245;-7;-5;-4;-1;0;0;44.1;38;17.8;47.3;37.8;14.9;v12025;20260423;8b;2025
14;Región de los ríos;142;Ranco;233;252;244;-6;3;0;0;0;0;44.7;39.6;15.7;46.1;39.9;14;v12025;20260423;8b;2025
15;Región de arica y parinacota;151;Arica;235;260;250;-9;-8;-3;-1;-1;0;43.9;39.4;16.7;40;40.8;19.2;v12025;20260423;8b;2025
15;Región de arica y parinacota;152;Parinacota;217;239;232;-4;-3;-14;0;0;0;70.8;16.7;12.5;62.5;20.8;16.7;v12025;20260423;8b;2025
16;Región de Ñuble;161;Diguillín;238;260;249;-3;-1;-1;0;0;0;42.1;39.2;18.7;40;41.2;18.8;v12025;20260423;8b;2025
