cod_reg;nom_reg;prom_lect8b_reg;prom_mate8b_reg;prom_hist8b_reg;dif_lect8b_reg;dif_mate8b_reg;dif_hist8b_reg;sigdif_lect8b_reg;sigdif_mate8b_reg;sigdif_hist8b_reg;palu_eda_ins_lect8b_reg;palu_eda_ele_lect8b_reg;palu_eda_ade_lect8b_reg;palu_eda_ins_mate8b_reg;palu_eda_ele_mate8b_reg;palu_eda_ade_mate8b_reg;codigo_bbdd;fecha_bbdd;grado;agno
1;Región de Tarapacá;229;249;240;-8;-6;-3;-1;0;0;49.8;36.6;13.5;50.1;36.4;13.5;v12025;20260423;8b;2025
2;Región de Antofagasta;234;252;246;-6;-6;0;-1;-1;0;45;38.6;16.4;46.4;39.5;14.1;v12025;20260423;8b;2025
3;Región de Atacama;229;244;239;-5;-4;-3;0;0;0;50.1;35.7;14.2;53.2;36;10.8;v12025;20260423;8b;2025
4;Región de Coquimbo;236;253;249;-6;-6;-2;-1;-1;0;44.2;38.2;17.7;46.1;38.8;15.1;v12025;20260423;8b;2025
5;Región de Valparaíso;233;254;246;-5;-6;-1;0;-1;0;45.7;37.7;16.6;45.1;39.8;15.2;v12025;20260423;8b;2025
6;Región del Libertador Bernardo O'higgins;236;255;248;-3;-4;-3;0;0;0;43.7;38.3;18;44.2;38.8;16.9;v12025;20260423;8b;2025
7;Región del Maule;240;261;252;-3;-3;-1;0;0;0;40.1;40;19.8;39.2;40.7;20.1;v12025;20260423;8b;2025
8;Región del Biobío;238;258;248;-4;-5;-2;0;0;0;41.7;39.7;18.6;41;41.3;17.7;v12025;20260423;8b;2025
9;Región de La Araucanía;234;251;245;-5;-3;-3;0;0;0;45.3;38.5;16.2;47.7;38;14.3;v12025;20260423;8b;2025
10;Región de Los Lagos;236;255;247;-7;-5;-3;-1;-1;0;43.7;38.9;17.4;44.2;39.4;16.4;v12025;20260423;8b;2025
11;Región de Aysén del General Carlos Ibañez del Campo;229;252;245;-9;-5;-5;-1;0;0;47.8;36.9;15.3;44.7;40.1;15.2;v12025;20260423;8b;2025
12;Región de Magallanes y de la Antártica Chilena;236;255;247;-7;-3;-2;-1;0;0;44.7;36;19.3;43.8;39.9;16.4;v12025;20260423;8b;2025
13;Región metropolitana de santiago;242;264;255;0;-4;2;0;0;0;39.2;39.3;21.4;37.8;38.8;23.5;v12025;20260423;8b;2025
14;Región de los ríos;235;252;245;-7;-3;-4;-1;0;0;44.3;38.4;17.3;47;38.4;14.6;v12025;20260423;8b;2025
15;Región de arica y parinacota;235;260;249;-9;-8;-3;-1;-1;0;44.1;39.2;16.7;40.1;40.7;19.2;v12025;20260423;8b;2025
16;Región de Ñuble;238;260;249;-3;-3;-2;0;0;0;42.1;39.2;18.7;40;41.2;18.8;v12025;20260423;8b;2025
