rbd,agno,curso,prom_mate_rbd,prom_lect_rbd,cod_grupo,cod_depe2,cod_rural_rbd,ind_am,ind_cc,ind_hv,ind_pf
7826,2024,2m,240.0,239.0,3.0,2,1,,73.0,,
6830,2024,2m,240.0,253.0,3.0,2,1,,78.0,,
40126,2024,2m,233.0,233.0,1.0,1,1,,82.0,,
18237,2024,2m,267.0,245.0,4.0,2,1,,76.0,,
14324,2024,2m,261.0,280.0,5.0,3,1,,83.0,,
6853,2024,2m,213.0,210.0,1.0,1,2,,78.0,,
26372,2024,2m,259.0,252.0,1.0,2,1,,85.0,,
9060,2024,2m,258.0,240.0,3.0,2,1,,79.0,,
31327,2024,2m,292.0,280.0,4.0,2,1,,77.0,,
22436,2024,2m,241.0,238.0,1.0,2,1,,79.0,,
12117,2024,2m,222.0,224.0,1.0,1,1,,80.0,,
13445,2024,2m,221.0,234.0,2.0,2,1,,78.0,,
12781,2024,2m,298.0,291.0,5.0,3,1,,79.0,,
6452,2024,2m,206.0,192.0,1.0,4,1,,69.0,,
6120,2024,2m,255.0,262.0,2.0,2,1,,84.0,,
17859,2024,2m,344.0,293.0,5.0,2,1,,85.0,,
69,2024,2m,365.0,302.0,5.0,3,1,,82.0,,
22459,2024,2m,235.0,256.0,4.0,2,1,,79.0,,
12094,2024,2m,307.0,263.0,5.0,3,1,,82.0,,
11430,2024,2m,270.0,264.0,3.0,2,1,,86.0,,
1397,2024,2m,250.0,229.0,2.0,2,1,,82.0,,
1520,2024,2m,256.0,237.0,3.0,4,1,,82.0,,
16508,2024,2m,301.0,251.0,4.0,2,1,,83.0,,
10906,2024,2m,296.0,284.0,4.0,2,1,,83.0,,
22313,2024,2m,228.0,228.0,1.0,2,1,,75.0,,
40295,2024,2m,250.0,239.0,3.0,2,1,,79.0,,
13491,2024,2m,227.0,237.0,3.0,2,1,,77.0,,
8914,2024,2m,347.0,286.0,5.0,3,1,,93.0,,
8991,2024,2m,348.0,298.0,5.0,3,1,,84.0,,
2084,2024,2m,217.0,226.0,2.0,1,1,,74.0,,
14819,2024,2m,258.0,272.0,3.0,2,1,,95.0,,
16485,2024,2m,280.0,256.0,3.0,2,1,,84.0,,
25562,2024,2m,289.0,250.0,2.0,2,1,,86.0,,
9601,2024,2m,210.0,192.0,1.0,1,1,,78.0,,
1443,2024,2m,242.0,237.0,1.0,2,1,,86.0,,
14470,2024,2m,215.0,212.0,1.0,1,1,,73.0,,
16462,2024,2m,195.0,222.0,1.0,2,1,,84.0,,
20298,2024,2m,357.0,267.0,2.0,2,1,,85.0,,
9701,2024,2m,251.0,254.0,3.0,1,1,,82.0,,
1048,2024,2m,230.0,223.0,2.0,1,1,,76.0,,
8868,2024,2m,330.0,304.0,5.0,3,1,,90.0,,
14865,2024,2m,214.0,231.0,2.0,2,1,,78.0,,
15775,2024,2m,200.0,235.0,2.0,2,1,,80.0,,
2794,2024,2m,216.0,211.0,1.0,1,1,,80.0,,
20129,2024,2m,289.0,271.0,3.0,2,1,,79.0,,
1735,2024,2m,267.0,273.0,3.0,2,1,,82.0,,
2940,2024,2m,220.0,213.0,1.0,1,1,,77.0,,
12658,2024,2m,201.0,216.0,1.0,2,2,,88.0,,
24812,2024,2m,318.0,276.0,2.0,2,1,,77.0,,
8496,2024,2m,229.0,229.0,3.0,1,1,,80.0,,
9077,2024,2m,219.0,236.0,3.0,1,1,,80.0,,
9409,2024,2m,252.0,252.0,2.0,2,1,,81.0,,
25393,2024,2m,250.0,257.0,4.0,2,1,,78.0,,
8828,2024,2m,343.0,292.0,4.0,1,1,,80.0,,
20235,2024,2m,325.0,293.0,5.0,3,1,,79.0,,
4500,2024,2m,260.0,257.0,2.0,1,1,,81.0,,
9824,2024,2m,267.0,253.0,2.0,2,1,,83.0,,
12077,2024,2m,243.0,248.0,3.0,2,1,,80.0,,
25061,2024,2m,230.0,242.0,1.0,2,1,,82.0,,
22499,2024,2m,230.0,230.0,1.0,2,1,,76.0,,
361,2024,2m,321.0,289.0,5.0,3,1,,83.0,,
4560,2024,2m,226.0,218.0,1.0,4,1,,81.0,,
14673,2024,2m,264.0,267.0,3.0,2,1,,83.0,,
22691,2024,2m,246.0,228.0,1.0,1,1,,82.0,,
7202,2024,2m,215.0,216.0,2.0,1,1,,76.0,,
11035,2024,2m,310.0,297.0,5.0,3,1,,85.0,,
12031,2024,2m,277.0,258.0,2.0,2,1,,81.0,,
2625,2024,2m,235.0,234.0,2.0,1,1,,80.0,,
16608,2024,2m,219.0,244.0,2.0,2,1,,81.0,,
31264,2024,2m,281.0,288.0,3.0,2,1,,85.0,,
12217,2024,2m,265.0,240.0,2.0,2,1,,80.0,,
610,2024,2m,267.0,232.0,1.0,4,1,,77.0,,
11971,2024,2m,335.0,296.0,5.0,3,1,,80.0,,
25894,2024,2m,280.0,278.0,3.0,2,1,,79.0,,
17736,2024,2m,243.0,246.0,2.0,2,1,,81.0,,
9910,2024,2m,261.0,261.0,3.0,2,1,,80.0,,
14487,2024,2m,234.0,217.0,2.0,2,1,,75.0,,
1503,2024,2m,231.0,218.0,1.0,2,1,,82.0,,
25645,2024,2m,275.0,243.0,2.0,2,1,,81.0,,
25556,2024,2m,214.0,233.0,1.0,2,1,,83.0,,
8974,2024,2m,349.0,292.0,5.0,3,1,,86.0,,
5439,2024,2m,215.0,219.0,1.0,1,1,,87.0,,
4646,2024,2m,287.0,259.0,4.0,2,1,,82.0,,
18128,2024,2m,290.0,248.0,4.0,2,1,,82.0,,
11931,2024,2m,220.0,207.0,2.0,2,1,,75.0,,
25599,2024,2m,225.0,218.0,2.0,2,1,,74.0,,
31012,2024,2m,279.0,262.0,3.0,2,1,,78.0,,
12864,2024,2m,330.0,278.0,5.0,3,1,,80.0,,
31258,2024,2m,239.0,278.0,5.0,3,1,,90.0,,
9369,2024,2m,266.0,269.0,3.0,2,1,,73.0,,
24766,2024,2m,217.0,200.0,3.0,2,1,,,,
18028,2024,2m,241.0,233.0,2.0,2,1,,82.0,,
10697,2024,2m,228.0,233.0,1.0,1,1,,77.0,,
2044,2024,2m,274.0,244.0,1.0,2,1,,84.0,,
14779,2024,2m,238.0,247.0,4.0,2,1,,78.0,,
3126,2024,2m,208.0,212.0,1.0,2,2,,80.0,,
25602,2024,2m,351.0,296.0,5.0,3,1,,88.0,,
8682,2024,2m,284.0,269.0,3.0,2,1,,81.0,,
13305,2024,2m,276.0,278.0,4.0,2,1,,80.0,,
13551,2024,2m,218.0,231.0,2.0,2,1,,83.0,,
8928,2024,2m,280.0,266.0,4.0,1,1,,75.0,,
24912,2024,2m,306.0,268.0,5.0,3,1,,81.0,,
14387,2024,2m,228.0,237.0,2.0,2,1,,81.0,,
10551,2024,2m,211.0,219.0,1.0,1,1,,79.0,,
10162,2024,2m,249.0,257.0,2.0,2,1,,83.0,,
31387,2024,2m,317.0,275.0,5.0,3,1,,82.0,,
12509,2024,2m,246.0,262.0,3.0,2,1,,78.0,,
12177,2024,2m,257.0,243.0,2.0,2,1,,78.0,,
14716,2024,2m,258.0,267.0,4.0,2,1,,78.0,,
24769,2024,2m,225.0,253.0,2.0,2,1,,78.0,,
132,2024,2m,297.0,268.0,4.0,2,1,,80.0,,
12867,2024,2m,264.0,261.0,4.0,3,1,,78.0,,
9784,2024,2m,205.0,221.0,2.0,2,1,,76.0,,
31175,2024,2m,227.0,225.0,3.0,2,1,,89.0,,
25101,2024,2m,255.0,241.0,3.0,2,1,,75.0,,
16780,2024,2m,256.0,242.0,2.0,2,1,,95.0,,
10780,2024,2m,249.0,241.0,1.0,1,1,,80.0,,
2124,2024,2m,240.0,242.0,1.0,1,1,,89.0,,
8430,2024,2m,222.0,238.0,2.0,4,1,,82.0,,
438,2024,2m,205.0,208.0,1.0,4,1,,74.0,,
5393,2024,2m,234.0,224.0,1.0,1,1,,84.0,,
14381,2024,2m,305.0,277.0,4.0,2,1,,86.0,,
16754,2024,2m,227.0,218.0,1.0,1,1,,77.0,,
7414,2024,2m,332.0,272.0,5.0,3,1,,85.0,,
9827,2024,2m,230.0,231.0,2.0,2,1,,74.0,,
19983,2024,2m,244.0,245.0,2.0,2,1,,82.0,,
5084,2024,2m,231.0,227.0,2.0,1,1,,84.0,,
4829,2024,2m,239.0,209.0,2.0,1,1,,79.0,,
31052,2024,2m,291.0,282.0,4.0,2,1,,83.0,,
10829,2024,2m,268.0,249.0,1.0,2,1,,82.0,,
109,2024,2m,220.0,229.0,2.0,4,1,,80.0,,
9263,2024,2m,306.0,264.0,5.0,3,1,,79.0,,
11968,2024,2m,363.0,314.0,5.0,3,1,,85.0,,
3976,2024,2m,204.0,199.0,1.0,1,1,,78.0,,
24626,2024,2m,244.0,249.0,3.0,2,1,,74.0,,
1148,2024,2m,249.0,242.0,1.0,1,1,,79.0,,
3478,2024,2m,222.0,236.0,1.0,2,2,,89.0,,
30013,2024,2m,312.0,287.0,5.0,3,1,,85.0,,
22021,2024,2m,222.0,231.0,1.0,1,1,,83.0,,
4709,2024,2m,202.0,204.0,1.0,1,1,,76.0,,
1291,2024,2m,275.0,277.0,4.0,2,1,,80.0,,
4686,2024,2m,332.0,289.0,5.0,3,1,,80.0,,
25785,2024,2m,251.0,260.0,4.0,3,1,,78.0,,
40023,2024,2m,368.0,313.0,5.0,3,1,,89.0,,
2104,2024,2m,248.0,237.0,2.0,1,1,,74.0,,
16588,2024,2m,291.0,278.0,3.0,2,1,,82.0,,
587,2024,2m,373.0,315.0,5.0,3,1,,89.0,,
5662,2024,2m,241.0,226.0,2.0,2,1,,75.0,,
4666,2024,2m,278.0,282.0,3.0,2,1,,80.0,,
16488,2024,2m,285.0,268.0,3.0,2,1,,82.0,,
5021,2024,2m,211.0,217.0,1.0,1,1,,82.0,,
25038,2024,2m,223.0,216.0,2.0,2,1,,74.0,,
