rbd,agno,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
1,2017,198.0,206.0,Bajo,Urbano,Municipal,72.69903644702875,69.76938195835,65.95010189521528,74.43373498884695
4,2017,274.0,260.0,Medio bajo,Urbano,Municipal,71.81714602456205,72.46839663450848,68.34146489637756,74.12730908955048
5,2017,314.0,269.0,Medio,Urbano,Municipal,75.49781989253026,75.86576675153148,60.84588928964854,76.74558573530301
7,2017,213.0,226.0,Bajo,Urbano,Municipal,68.98657206742986,72.91717765750198,65.83591744482304,74.82606214214535
8,2017,246.0,216.0,Medio bajo,Urbano,Municipal,77.24264314615094,73.80627072396076,65.75210447416666,76.89759463377291
15,2017,224.0,230.0,Medio,Urbano,Municipal,66.70724857476675,74.46140499806337,73.31081717221774,81.37992052433998
25,2017,207.0,229.0,Medio bajo,Urbano,Municipal,76.68667211955106,74.22583356021899,63.0322884003715,79.09936355119706
32,2017,233.0,231.0,Bajo,Rural,Municipal,74.76503516423475,71.41031435543859,71.46050794350141,76.44375428567585
45,2017,290.0,272.0,Medio,Urbano,Particular subvencionado,76.55429886568008,78.66058331334514,72.16975588206087,80.70677967671196
50,2017,298.0,276.0,Medio,Urbano,Particular subvencionado,77.13283010364982,82.35781801798721,79.99731265664897,79.97046842459619
52,2017,277.0,270.0,Medio bajo,Urbano,Particular subvencionado,74.95765976507404,76.19691237475388,64.47537763714496,74.99719410280429
56,2017,302.0,274.0,Medio alto,Urbano,Particular subvencionado,74.91430187921556,72.63034355001,68.52246151138824,79.38708962732642
59,2017,318.0,291.0,Alto,Urbano,Particular pagado,72.83391859533651,68.87419425691364,76.40585227996038,75.94082628036875
60,2017,304.0,269.0,Medio,Urbano,Particular subvencionado,71.90937280061522,70.60467108617031,69.37193869887281,73.30699614116085
67,2017,287.0,270.0,Medio alto,Urbano,Particular subvencionado,66.88587773586673,71.36021291375171,74.69252464814215,73.02855137914656
69,2017,342.0,303.0,Alto,Urbano,Particular pagado,78.39904594468717,79.02671089567104,67.46624317177688,79.58086709390871
72,2017,179.0,212.0,Medio,Rural,Municipal,68.27385089908934,70.41406596275334,72.91885121581133,76.16784819747342
78,2017,207.0,223.0,Medio bajo,Rural,Municipal,72.96677406810996,76.25070933491679,72.07996071766512,82.51044394059817
97,2017,211.0,229.0,Medio bajo,Urbano,Municipal,69.97698275330451,71.9669022230415,63.41990698872782,71.92399142840091
103,2017,218.0,248.0,Medio,Urbano,Municipal,76.82765194238398,76.02787696484236,76.46169818190347,85.46643996002422
106,2017,232.0,211.0,Medio bajo,Urbano,Particular subvencionado,76.99892654339486,74.19622307342694,64.63323250220222,77.71377186961769
107,2017,227.0,232.0,Medio bajo,Urbano,Municipal,70.02053391185117,70.55380022533005,63.785101527314474,71.76585830946955
108,2017,196.0,199.0,Bajo,Urbano,Municipal,69.95460283447397,64.10849940400524,60.90981636671534,69.89446841262367
109,2017,201.0,228.0,Medio bajo,Urbano,Municipal,77.70797694162133,73.80944153897762,63.7367788347511,75.42838439547857
110,2017,229.0,258.0,Medio,Urbano,Municipal,69.2150589279911,71.31910953940435,61.160390115596456,74.00989819475926
124,2017,210.0,225.0,Medio bajo,Urbano,Municipal,71.46643547402769,67.92269138396821,64.68640871259915,70.0168334373747
125,2017,207.0,203.0,Medio,Urbano,Municipal,72.79534862768006,68.64570680228559,66.30882287612573,72.33916433077749
127,2017,314.0,292.0,Medio alto,Urbano,Particular subvencionado,74.32130011861028,81.7930717752867,68.92421505591784,78.50956619282597
129,2017,211.0,228.0,Medio bajo,Urbano,Particular subvencionado,77.87180131140401,74.84783321889151,63.565349732240065,73.30131545198581
130,2017,278.0,252.0,Medio alto,Urbano,Particular subvencionado,74.57263303747199,76.97627941580146,63.01635292433017,74.37014281196781
131,2017,229.0,243.0,Medio,Urbano,Particular subvencionado,75.53075865410402,76.81773503126364,73.62082839152187,74.94944555547026
