rbd,agno,curso,curso_ord,nse_ord,cod_grupo,cod_rural_rbd,cod_depe2,idps_am_prev,idps_cc_prev,idps_hv_prev,idps_pf_prev,simce_mate_prev,simce_lect_prev,target_mate,target_lect
1,2017,2m,10,1,Bajo,Urbano,Municipal,69.0,61.0,63.0,68.0,198.0,190.0,198.0,206.0
1,2018,2m,10,1,Bajo,Urbano,Municipal,72.69903644702875,69.76938195835,65.95010189521528,74.43373498884695,198.0,206.0,205.0,205.0
1,2023,2m,10,1,Bajo,Urbano,SLEP,73.0,75.0,68.0,79.0,242.0,218.0,214.0,208.0
1,2024,2m,10,1,Bajo,Urbano,SLEP,74.0,72.0,74.0,76.0,214.0,208.0,270.0,227.0
1,2025,2m,10,1,Bajo,Urbano,SLEP,74.0,75.0,74.0,79.0,270.0,227.0,243.0,207.0
4,2017,2m,10,2,Medio bajo,Urbano,Municipal,74.0,74.0,68.0,79.0,280.0,261.0,274.0,260.0
4,2018,2m,10,2,Medio bajo,Urbano,Municipal,71.81714602456205,72.46839663450848,68.34146489637756,74.12730908955048,274.0,260.0,286.0,269.0
4,2023,2m,10,3,Medio,Urbano,SLEP,73.0,75.0,69.0,79.0,283.0,268.0,284.0,275.0
4,2024,2m,10,3,Medio,Urbano,SLEP,76.0,74.0,70.0,77.0,284.0,275.0,288.0,280.0
4,2025,2m,10,3,Medio,Urbano,SLEP,74.0,74.0,70.0,75.0,288.0,280.0,297.0,283.0
5,2017,2m,10,3,Medio,Urbano,Municipal,76.0,74.0,59.0,74.0,276.0,239.0,314.0,269.0
5,2017,4b,4,3,Medio,Urbano,Municipal,75.0,74.0,65.0,72.0,257.0,274.0,276.0,276.0
5,2018,2m,10,3,Medio,Urbano,Municipal,75.49781989253026,75.86576675153148,60.84588928964854,76.74558573530301,314.0,269.0,274.0,265.0
5,2023,2m,10,3,Medio,Urbano,SLEP,72.0,76.0,68.0,77.0,251.0,236.0,290.0,242.0
5,2023,4b,4,4,Medio alto,Urbano,SLEP,70.0,78.0,65.0,74.0,230.0,265.0,243.0,264.0
5,2024,2m,10,3,Medio,Urbano,SLEP,75.0,74.0,69.0,79.0,290.0,242.0,244.0,250.0
5,2024,4b,4,4,Medio alto,Urbano,SLEP,76.0,74.0,66.0,75.0,243.0,264.0,261.0,284.0
5,2025,2m,10,2,Medio bajo,Urbano,SLEP,71.0,73.0,71.0,75.0,244.0,250.0,276.0,250.0
5,2025,4b,4,3,Medio,Urbano,SLEP,75.0,74.0,66.0,78.0,261.0,284.0,266.0,279.0
7,2017,2m,10,1,Bajo,Urbano,Municipal,70.0,70.0,65.0,71.0,213.0,219.0,213.0,226.0
7,2018,2m,10,1,Bajo,Urbano,Municipal,68.98657206742986,72.91717765750198,65.83591744482304,74.82606214214535,213.0,226.0,222.0,218.0
7,2023,2m,10,1,Bajo,Urbano,SLEP,73.0,73.0,68.0,75.0,225.0,223.0,221.0,228.0
7,2024,2m,10,1,Bajo,Urbano,SLEP,73.0,74.0,73.0,76.0,221.0,228.0,239.0,231.0
7,2025,2m,10,1,Bajo,Urbano,SLEP,72.0,73.0,72.0,74.0,239.0,231.0,241.0,233.0
8,2017,2m,10,2,Medio bajo,Urbano,Municipal,74.0,72.0,66.0,75.0,225.0,220.0,246.0,216.0
