rbd,agno,curso,prom_mate_rbd,prom_lect_rbd,cod_grupo,cod_depe2,cod_rural_rbd
1,2016,2m,198.0,190.0,Bajo,Municipal,Urbano
4,2016,2m,280.0,261.0,Medio bajo,Municipal,Urbano
5,2016,2m,276.0,239.0,Medio,Municipal,Urbano
7,2016,2m,213.0,219.0,Bajo,Municipal,Urbano
8,2016,2m,225.0,220.0,Medio bajo,Municipal,Urbano
15,2016,2m,228.0,217.0,Medio bajo,Municipal,Urbano
25,2016,2m,192.0,211.0,Medio bajo,Municipal,Urbano
32,2016,2m,177.0,223.0,Bajo,Municipal,Rural
45,2016,2m,274.0,263.0,Medio,Particular subvencionado,Urbano
50,2016,2m,309.0,285.0,Medio,Particular subvencionado,Urbano
52,2016,2m,289.0,260.0,Medio bajo,Particular subvencionado,Urbano
56,2016,2m,323.0,295.0,Medio alto,Particular subvencionado,Urbano
59,2016,2m,309.0,285.0,Alto,Particular pagado,Urbano
60,2016,2m,307.0,228.0,Medio alto,Particular subvencionado,Urbano
67,2016,2m,278.0,255.0,Medio alto,Particular subvencionado,Urbano
69,2016,2m,343.0,299.0,Alto,Particular pagado,Urbano
72,2016,2m,204.0,214.0,Bajo,Municipal,Rural
78,2016,2m,202.0,235.0,Bajo,Municipal,Rural
97,2016,2m,213.0,239.0,Medio bajo,Municipal,Urbano
103,2016,2m,213.0,239.0,Medio,Municipal,Urbano
106,2016,2m,235.0,217.0,Medio bajo,Particular subvencionado,Urbano
107,2016,2m,225.0,229.0,Medio bajo,Municipal,Urbano
108,2016,2m,189.0,189.0,Medio bajo,Municipal,Urbano
109,2016,2m,198.0,201.0,Medio bajo,Municipal,Urbano
110,2016,2m,230.0,259.0,Medio,Municipal,Urbano
124,2016,2m,208.0,211.0,Medio bajo,Municipal,Urbano
125,2016,2m,195.0,208.0,Medio,Municipal,Urbano
127,2016,2m,305.0,290.0,Medio alto,Particular subvencionado,Urbano
129,2016,2m,192.0,231.0,Medio bajo,Particular subvencionado,Urbano
130,2016,2m,288.0,286.0,Medio,Particular subvencionado,Urbano
131,2016,2m,247.0,237.0,Medio,Particular subvencionado,Urbano
132,2016,2m,329.0,284.0,Medio alto,Particular subvencionado,Urbano
133,2016,2m,255.0,252.0,Medio alto,Particular subvencionado,Urbano
134,2016,2m,199.0,214.0,Medio bajo,Particular subvencionado,Urbano
144,2016,2m,192.0,213.0,Medio,Particular subvencionado,Urbano
161,2016,2m,211.0,232.0,Bajo,Municipal,Rural
178,2016,2m,156.0,221.0,Bajo,Municipal,Rural
191,2016,2m,224.0,224.0,Medio bajo,Municipal,Rural
199,2016,2m,199.0,214.0,Medio bajo,Municipal,Urbano
200,2016,2m,215.0,228.0,Medio bajo,Municipal,Urbano
208,2016,2m,261.0,271.0,Medio,Particular subvencionado,Urbano
211,2016,2m,250.0,250.0,Medio,Municipal,Urbano
217,2016,2m,309.0,290.0,Medio,Municipal,Urbano
218,2016,2m,240.0,252.0,Medio bajo,Municipal,Urbano
219,2016,2m,232.0,242.0,Medio bajo,Municipal,Urbano
220,2016,2m,273.0,246.0,Medio,Municipal,Urbano
253,2016,2m,279.0,272.0,Medio,Particular subvencionado,Urbano
254,2016,2m,276.0,278.0,Medio,Particular subvencionado,Urbano
255,2016,2m,240.0,240.0,Medio,Particular subvencionado,Urbano
