rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
1,2016,2m,198.0,190.0,Bajo,Urbano,Municipal,69.0,61.0,63.0,68.0
1,2017,2m,198.0,206.0,Bajo,Urbano,Municipal,72.69903644702875,69.76938195835,65.95010189521528,74.43373498884695
1,2018,2m,205.0,205.0,Bajo,Urbano,Municipal,73.593053205,73.712096068,65.12454768,78.117697771
1,2022,2m,242.0,218.0,Bajo,Urbano,SLEP,73.0,75.0,68.0,79.0
1,2023,2m,214.0,208.0,Bajo,Urbano,SLEP,74.0,72.0,74.0,76.0
1,2024,2m,270.0,227.0,Bajo,Urbano,SLEP,74.0,75.0,74.0,79.0
1,2025,2m,243.0,207.0,Bajo,Urbano,SLEP,70.0,70.0,73.0,71.0
4,2016,2m,280.0,261.0,Medio bajo,Urbano,Municipal,74.0,74.0,68.0,79.0
4,2017,2m,274.0,260.0,Medio bajo,Urbano,Municipal,71.81714602456205,72.46839663450848,68.34146489637756,74.12730908955048
4,2018,2m,286.0,269.0,Medio bajo,Urbano,Municipal,74.983241974,77.968386091,70.299922261,80.103023336
4,2022,2m,283.0,268.0,Medio,Urbano,SLEP,73.0,75.0,69.0,79.0
4,2023,2m,284.0,275.0,Medio,Urbano,SLEP,76.0,74.0,70.0,77.0
4,2024,2m,288.0,280.0,Medio,Urbano,SLEP,74.0,74.0,70.0,75.0
4,2025,2m,297.0,283.0,Medio,Urbano,SLEP,74.0,75.0,76.0,68.0
5,2016,2m,276.0,239.0,Medio,Urbano,Municipal,76.0,74.0,59.0,74.0
5,2017,2m,314.0,269.0,Medio,Urbano,Municipal,75.49781989253026,75.86576675153148,60.84588928964854,76.74558573530301
5,2018,2m,274.0,265.0,Medio bajo,Urbano,Municipal,78.068536366,78.771248991,68.718553252,80.140260622
5,2022,2m,251.0,236.0,Medio,Urbano,SLEP,72.0,76.0,68.0,77.0
5,2023,2m,290.0,242.0,Medio,Urbano,SLEP,75.0,74.0,69.0,79.0
5,2024,2m,244.0,250.0,Medio bajo,Urbano,SLEP,71.0,73.0,71.0,75.0
5,2025,2m,276.0,250.0,Medio,Urbano,SLEP,72.0,73.0,77.0,71.0
7,2016,2m,213.0,219.0,Bajo,Urbano,Municipal,70.0,70.0,65.0,71.0
