rbd,agno,curso,prom_mate2m_rbd,prom_lect2m_rbd,cod_grupo,cod_rural_rbd,cod_depe2,ind_am,ind_cc,ind_hv,ind_pf
5,2016,4b,257.0,274.0,Medio,Urbano,Municipal,75.0,74.0,65.0,72.0
5,2017,4b,276.0,276.0,Medio,Urbano,Municipal,72.65830883856333,71.17875857686808,60.83202267297176,71.4036058299841
5,2022,4b,230.0,265.0,Medio alto,Urbano,SLEP,70.0,78.0,65.0,74.0
5,2023,4b,243.0,264.0,Medio alto,Urbano,SLEP,76.0,74.0,66.0,75.0
5,2024,4b,261.0,284.0,Medio,Urbano,SLEP,75.0,74.0,66.0,78.0
5,2025,4b,266.0,279.0,Medio alto,Urbano,SLEP,77.0,79.0,83.0,75.0
8,2016,4b,259.0,271.0,Medio bajo,Urbano,Municipal,83.0,82.0,84.0,86.0
8,2017,4b,250.0,282.0,Medio,Urbano,Municipal,81.6760209604308,81.49121847250755,85.10230074661452,86.35089115939209
8,2022,4b,244.0,267.0,Medio bajo,Urbano,SLEP,77.0,80.0,74.0,85.0
8,2023,4b,279.0,291.0,Medio,Urbano,SLEP,76.0,69.0,75.0,77.0
8,2024,4b,292.0,299.0,Medio,Urbano,SLEP,76.0,76.0,75.0,78.0
8,2025,4b,277.0,284.0,Medio bajo,Urbano,SLEP,84.0,84.0,88.0,77.0
9,2016,4b,298.0,291.0,Medio,Urbano,Municipal,80.0,78.0,70.0,80.0
9,2017,4b,266.0,284.0,Medio,Urbano,Municipal,75.18810994988671,75.11879820222822,66.18155243615996,78.70608905979765
9,2022,4b,256.0,273.0,Medio,Urbano,SLEP,73.0,74.0,62.0,75.0
9,2023,4b,265.0,284.0,Medio alto,Urbano,SLEP,72.0,74.0,70.0,77.0
9,2024,4b,272.0,278.0,Medio alto,Urbano,SLEP,77.0,77.0,75.0,81.0
9,2025,4b,259.0,277.0,Medio alto,Urbano,SLEP,72.0,74.0,75.0,68.0
10,2016,4b,235.0,243.0,Medio bajo,Urbano,Municipal,82.0,79.0,73.0,84.0
10,2017,4b,237.0,250.0,Medio bajo,Urbano,Municipal,71.24615117180079,74.65972894372905,66.57964960119352,75.75181232894452
10,2022,4b,216.0,273.0,Medio,Urbano,SLEP,89.0,88.0,82.0,93.0
10,2023,4b,270.0,276.0,Medio,Urbano,SLEP,81.0,83.0,79.0,90.0
10,2024,4b,240.0,262.0,Medio bajo,Urbano,SLEP,83.0,78.0,74.0,87.0
10,2025,4b,249.0,282.0,Medio,Urbano,SLEP,77.0,75.0,78.0,70.0
11,2016,4b,236.0,257.0,Medio bajo,Urbano,Municipal,73.0,69.0,63.0,70.0
11,2017,4b,229.0,237.0,Medio bajo,Urbano,Municipal,73.41392799184052,70.713671553338,67.32910624671709,78.8554122254049
11,2022,4b,263.0,283.0,Medio bajo,Urbano,SLEP,67.0,77.0,63.0,74.0
11,2023,4b,243.0,257.0,Medio bajo,Urbano,SLEP,83.0,83.0,76.0,88.0
11,2024,4b,238.0,249.0,Medio bajo,Urbano,SLEP,75.0,73.0,65.0,78.0
11,2025,4b,216.0,255.0,Medio bajo,Urbano,SLEP,79.0,77.0,80.0,70.0
12,2016,4b,284.0,279.0,Medio bajo,Urbano,Municipal,77.0,82.0,70.0,86.0
12,2017,4b,275.0,299.0,Medio,Urbano,Municipal,73.72347941367025,83.58061108481397,70.87175771745855,81.65314493038798
12,2022,4b,232.0,259.0,Medio,Urbano,SLEP,74.0,74.0,67.0,76.0
12,2023,4b,261.0,261.0,Medio bajo,Urbano,SLEP,89.0,86.0,81.0,92.0
