variable,descripcion,archivos_presentes
agno,Año del la evaluación,"idps_2m_2016_idps2m, idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2023_idps2m_niveles_final, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2024_idps_niveles, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_2m_2025_idps_niveles, idps_4b_2016_idps4b, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2023_idps4b_niveles_final, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2024_idps_niveles, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_4b_2025_idps_niveles, idps_6b_2016_idps6b, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_6b_2024_idps_niveles, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, idps_8b_2025_idps_niveles, simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2016__rbd, simce_2m_2016__region, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2017_rbd, simce_2m_2017_región, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2018_rbd, simce_2m_2018_región, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2022__rbd, simce_2m_2022__region, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2023__rbd, simce_2m_2023__region, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2024__rbd, simce_2m_2024__region, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_2m_2025__rbd, simce_2m_2025__region, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2016__rbd, simce_4b_2016__region, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2017_rbd, simce_4b_2017_region, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2018_rbd, simce_4b_2018_región, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2022__rbd, simce_4b_2022__region, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2023__rbd, simce_4b_2023__region, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2024__rbd, simce_4b_2024__region, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_4b_2025__rbd, simce_4b_2025__region, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2016__rbd, simce_6b_2016__region, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2018_rbd, simce_6b_2018_region, simce_6b_2018_región, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_6b_2024__rbd, simce_6b_2024__region, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2017_rbd, simce_8b_2017_region, simce_8b_2025__comuna, simce_8b_2025__deprov, simce_8b_2025__rbd, simce_8b_2025__region"
cod_com,Código de comuna año 2016,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2018_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna, simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
cod_com_rbd,Código de comuna del establecimiento año 2016,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
cod_depe1,Código de dependencia 5 categorías,"simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
cod_depe2,Código de dependencia 3 categorías,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
cod_deprov,Código Departamento Provincial,"simce_2m_2016__comuna, simce_2m_2016__deprov, simce_2m_2017_comuna, simce_2m_2017_deprov, simce_2m_2018_comuna, simce_2m_2018_deprov, simce_2m_2022__comuna, simce_2m_2022__deprov, simce_2m_2023__comuna, simce_2m_2023__deprov, simce_2m_2024__comuna, simce_2m_2024__deprov, simce_2m_2025__comuna, simce_2m_2025__deprov, simce_4b_2016__comuna, simce_4b_2016__deprov, simce_4b_2017_comuna, simce_4b_2017_deprov, simce_4b_2018_comuna, simce_4b_2018_deprov, simce_4b_2022__comuna, simce_4b_2022__deprov, simce_4b_2023__comuna, simce_4b_2023__deprov, simce_4b_2024__comuna, simce_4b_2024__deprov, simce_4b_2025__comuna, simce_4b_2025__deprov, simce_6b_2016__comuna, simce_6b_2016__deprov, simce_6b_2018_comuna, simce_6b_2018_deprov, simce_6b_2024__comuna, simce_6b_2024__deprov, simce_8b_2017_comuna, simce_8b_2017_deprov, simce_8b_2025__comuna, simce_8b_2025__deprov"
cod_deprov:rbd,Nombre Deprov del establecimiento año 2015,simce_6b_2018_rbd
cod_deprov_rbd,Código Deprov del establecimiento año 2015,"simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2025__rbd"
cod_grupo,Código de grupo socioeconómico,"idps_2m_2017_idps2m, idps_2m_2018_idps2m, idps_2m_2022_dim_idps2m, idps_2m_2022_idps2m, idps_2m_2023_dim_idps2m, idps_2m_2023_idps2m, idps_2m_2024_dim_idps, idps_2m_2024_idps, idps_2m_2025_dim_idps, idps_2m_2025_idps, idps_4b_2017_idps4b, idps_4b_2018_idps4b, idps_4b_2022_dim_idps4b, idps_4b_2022_idps4b, idps_4b_2023_dim_idps4b, idps_4b_2023_idps4b, idps_4b_2024_dim_idps, idps_4b_2024_idps, idps_4b_2025_dim_idps, idps_4b_2025_idps, idps_6b_2018_idps6b, idps_6b_2024_dim_idps, idps_6b_2024_idps, idps_8b_2017_idps8b, idps_8b_2019_idps8b, idps_8b_2025_dim_idps, idps_8b_2025_idps, simce_2m_2016__rbd, simce_2m_2017_rbd, simce_2m_2018_rbd, simce_2m_2022__rbd, simce_2m_2023__rbd, simce_2m_2024__rbd, simce_2m_2025__rbd, simce_4b_2016__rbd, simce_4b_2017_rbd, simce_4b_2018_rbd, simce_4b_2022__rbd, simce_4b_2023__rbd, simce_4b_2024__rbd, simce_4b_2025__rbd, simce_6b_2016__rbd, simce_6b_2018_rbd, simce_6b_2024__rbd, simce_8b_2017_rbd, simce_8b_2025__rbd"
cod_pro,Código de provincia año 2016,"simce_2m_2016__comuna, simce_2m_2017_comuna, simce_2m_2018_comuna, simce_2m_2022__comuna, simce_2m_2023__comuna, simce_2m_2024__comuna, simce_2m_2025__comuna, simce_4b_2016__comuna, simce_4b_2017_comuna, simce_4b_2018_comuna, simce_4b_2022__comuna, simce_4b_2023__comuna, simce_4b_2024__comuna, simce_4b_2025__comuna, simce_6b_2016__comuna, simce_6b_2018_comuna, simce_6b_2024__comuna, simce_8b_2017_comuna, simce_8b_2025__comuna"
